,sample_id,source,group
GSM175766,GSM175766,Female - caucasian - E-01-M,diseased
GSM175767,GSM175767,Female - caucasian - E-02-M,diseased
GSM175768,GSM175768,Female - caucasian - E-04-M,diseased
GSM175769,GSM175769,Female - caucasian - E-05-M,diseased
GSM175770,GSM175770,Female - caucasian - E-06-M,diseased
GSM175771,GSM175771,Female - caucasian - E-02-G,diseased
GSM175772,GSM175772,Female - caucasian - E-03-G,diseased
GSM175773,GSM175773,Female - caucasian - E-05-G,diseased
GSM175774,GSM175774,Female - caucasian - E-06-G,diseased
GSM175775,GSM175775,Female - caucasian - E-08-G,diseased
GSM175776,GSM175776,Female - caucasian - N-01-M,normal
GSM175777,GSM175777,Female - caucasian - N-02-M,normal
GSM175778,GSM175778,Female - caucasian - N-04-M,normal
GSM175779,GSM175779,Female - caucasian - N-05-M,normal
GSM175780,GSM175780,Female - caucasian - N-06-M,normal
GSM175781,GSM175781,Female - caucasian - N-02-G,normal
GSM175782,GSM175782,Female - caucasian - N-03-G,normal
GSM175783,GSM175783,Female - caucasian - N-05-G,normal
GSM175784,GSM175784,Female - caucasian - N-06-G,normal
GSM175785,GSM175785,Female - caucasian - N-08-G,normal
