"probe_id","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val"
"205610_at","MYOM1",1.128917214625,5.35988661795455,6.28748113048554,2.64225066919406e-06,0.0305475797986882
"209613_s_at","ADH1B",4.2898240945,4.17037196022727,6.00106885242571,5.10258583578238e-06,0.0305475797986882
"205475_at","SCRG1",2.75579961375,5.61243121245455,5.94884748419662,5.75897559777116e-06,0.0305475797986882
"211892_s_at","PTGIS",1.403289742375,4.63624605904545,5.75660709636841,9.01432101594274e-06,0.0305475797986882
"208396_s_at","PDE1A",1.9105872685,5.65040735431818,5.71825942331192,9.86173234364266e-06,0.0305475797986882
"209612_s_at","ADH1B",4.162572310625,5.23850185881818,5.71699238783065,9.89107727894773e-06,0.0305475797986882
"209883_at","COLGALT2",1.1502692905,5.23951404327273,5.668276495193,1.10894827967745e-05,0.0305475797986882
"203797_at","VSNL1",1.935172616625,5.369403867,5.51850419937309,1.57852728247714e-05,0.0319680475197667
"202222_s_at","DES",3.3384370375,7.27724702109091,5.41351462411295,2.02439205459855e-05,0.0351121061438457
"216331_at","ITGA7",1.76327943175,7.09513242586364,5.39252382151767,2.12788322960155e-05,0.0351121061438457
"209621_s_at","PDLIM3",3.304001809,7.05317649636364,5.33908823724652,2.41626773363962e-05,0.0351121061438457
"203705_s_at","FZD7",2.709195596,6.28288742831818,5.32299468132121,2.51067236524641e-05,0.0351121061438457
"209663_s_at","ITGA7",1.4875566255,5.45444860786364,5.32112910265067,2.52185526911851e-05,0.0351121061438457
"205357_s_at","AGTR1",2.345621741375,4.73696266859091,5.18034356090389,3.52964928933059e-05,0.042816354602545
"204940_at","PLN",3.005905668875,3.22041236504545,5.16175839738507,3.69026021224776e-05,0.042816354602545
"209840_s_at","LRRN3",1.885591879375,4.56667389954545,5.12654890612985,4.01512921500268e-05,0.042816354602545
"205330_at","MN1",2.0912739265,6.67595732645455,5.12034437112059,4.07531018635383e-05,0.042816354602545
"207317_s_at","CASQ2",1.74844702875,5.49653245509091,5.10497039832514,4.22839610924267e-05,0.042816354602545
"214027_x_at","DES",2.340897419375,8.12927023877273,5.04887555918148,4.83805190585402e-05,0.0449072009611291
"205109_s_at","ARHGEF4",1.56677558075,6.56116246722727,5.0260896542283,5.11043549103095e-05,0.0455380685734786
"204584_at","L1CAM",1.60229618425,4.80114406781818,4.97156304601913,5.82694098411158e-05,0.0499256785780976
