"probe_id","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val"
"217544_at","217544_at",-1.72939747616667,3.03050967545455,-14.5503453220707,1.0966595309941e-12,2.44302843719555e-08
"210093_s_at","MAGOH",-1.70148955820833,7.465684213,-9.97821081103738,1.41495561813697e-09,9.07667812762153e-06
"222264_at","HNRNPUL2",-1.60873606433334,6.73991037536364,-9.75964305525747,2.10522089457945e-09,9.07667812762153e-06
"217693_x_at","MAGOH2P",-1.235516278125,4.93725409986364,-9.74080258639026,2.17915976775068e-09,9.07667812762153e-06
"201691_s_at","TPD52",-2.403773925375,4.30438050790909,-9.70120201765175,2.34347554644522e-09,9.07667812762153e-06
"210057_at","SMG1",-2.38947666025,3.59889562268182,-9.59797896380961,2.83494949962642e-09,9.07667812762153e-06
"220342_x_at","EDEM3",-2.21149676595833,5.19520241154545,-9.59471604849069,2.85212312669348e-09,9.07667812762153e-06
"207605_x_at","ZNF117",-2.2377243585,4.84633744227273,-9.51977974194669,3.27765761902517e-09,9.12704734737796e-06
"221683_s_at","CEP290",-2.52561528533334,5.9362455155,-9.18339852971116,6.17174467344264e-09,1.50621852157161e-05
"213956_at","CEP350",-1.7708918125,5.67104863177273,-9.13551829236147,6.76131670140327e-09,1.50621852157161e-05
"215057_at","EOLA2-DT",-1.870024928125,5.81781363895455,-9.00938136906065,8.61037315791588e-09,1.7437571167172e-05
"219850_s_at","EHF",-4.22988870175,4.9439033355,-8.76488869962345,1.38372585797141e-08,2.45520250047025e-05
"218380_at","SMIM48",2.09932434783333,9.17956255663636,8.67466488604079,1.65168791521181e-08,2.45520250047025e-05
"204163_at","EMILIN1",2.73063330633333,8.37333266490909,8.66760395706812,1.67480361492382e-08,2.45520250047025e-05
"219754_at","RBM41",-2.49015193012501,6.024632886,-8.61355618142994,1.86319880574253e-08,2.45520250047025e-05
"209356_x_at","EFEMP2",2.087153675625,9.6516874365,8.53500680195655,2.17689533471459e-08,2.45520250047025e-05
"202170_s_at","AASDHPPT",-1.95879731266667,7.78421335731818,-8.5117910112075,2.27970189753443e-08,2.45520250047025e-05
"214483_s_at","ARFIP1",-2.73746250054167,5.24739378190909,-8.50697278314305,2.30165984623408e-08,2.45520250047025e-05
"211488_s_at","ITGB8",-2.61295433066667,5.30091012972727,-8.46912540000425,2.48192365994379e-08,2.45520250047025e-05
"202261_at","VPS72",1.41615559058333,8.70133537036364,8.45643732860499,2.54556996594509e-08,2.45520250047025e-05
"221244_s_at","PDPK1",-0.983939375875002,4.68134414827273,-8.45412072191708,2.5573714422171e-08,2.45520250047025e-05
"201361_at","TMEM109",1.51355804670833,9.11274238095455,8.45280173659634,2.56411597898213e-08,2.45520250047025e-05
"221959_at","FAM110B",1.46539817125,6.629102023,8.39530828143729,2.87669681242314e-08,2.45520250047025e-05
"206117_at","TPM1",1.74618102675,6.50181215854545,8.38635350064065,2.92881545795442e-08,2.45520250047025e-05
"210596_at","MAGT1",-1.86650015475,7.21727473309091,-8.37981657174238,2.96747683956932e-08,2.45520250047025e-05
"37079_at","NUS1P3",-3.32421046916667,4.07837923513636,-8.32570729224166,3.30844949129051e-08,2.45520250047025e-05
"202012_s_at","EXT2",1.08538008983333,9.29649855509091,8.31856684462594,3.35637637511576e-08,2.45520250047025e-05
"206580_s_at","EFEMP2",1.75565718870833,9.664602225,8.31355249235757,3.39046090536904e-08,2.45520250047025e-05
"221761_at","ADSS2",-2.42541332470833,6.60122309627273,-8.3104061623362,3.4120300633487e-08,2.45520250047025e-05
"203385_at","DGKA",1.25373853124999,7.04473715354546,8.30101639873968,3.47724642832607e-08,2.45520250047025e-05
"209626_s_at","OSBPL3",-2.03669224295834,6.21562964890909,-8.30065361008577,3.47979184272675e-08,2.45520250047025e-05
"215425_at","BTG3",-1.93586030883333,4.22773032145455,-8.29400280091292,3.52679804349993e-08,2.45520250047025e-05
"209550_at","NDN",1.83471531316666,9.49683054831818,8.26095894651833,3.77025580056257e-08,2.50654318746244e-05
"205516_x_at","CIZ1",1.308674848375,8.90549540763636,8.25375724547475,3.8255810196042e-08,2.50654318746244e-05
"222286_at","SNAPC3",-1.984379404,4.92892764431818,-8.19977799625738,4.26788398328155e-08,2.66346702868957e-05
"201082_s_at","DCTN1",1.3876718,8.42495369481818,8.19560473288081,4.3042067169199e-08,2.66346702868957e-05
"205578_at","ROR2",1.34632008716666,7.46676291295454,8.16651591693029,4.56641410702496e-08,2.74341724064201e-05
"219315_s_at","TMEM204",1.91275366654166,8.93941925886364,8.154476844724,4.6797080012747e-08,2.74341724064201e-05
"203723_at","ITPKB",1.76725357666666,7.38509251704545,8.1383516825676,4.83601639472188e-08,2.76235736474921e-05
"215399_s_at","OS9",1.38365389570833,8.99867105036364,8.12579720757204,4.96143743274249e-08,2.76314854223011e-05
"218641_at","ZFTA",1.09198767541666,9.33301786604545,8.05485008679944,5.73612128125133e-08,3.06611105786548e-05
"218431_at","VIPAS39",0.988945773874996,8.52145007009091,8.04619383110262,5.83883542291675e-08,3.06611105786548e-05
"210042_s_at","CTSZ",-3.38889559533334,8.094978923,-8.01576611455815,6.21519683092227e-08,3.06611105786548e-05
"216170_at","216170_at",-1.37421395729167,3.59857397140909,-8.00540992765689,6.34892908708959e-08,3.06611105786548e-05
"218228_s_at","TNKS2",-2.73054452120833,7.00633400131818,-8.00409058248388,6.36617806501329e-08,3.06611105786548e-05
"203479_s_at","OTUD4",-1.52942723833333,6.28891211145454,-8.00198626029656,6.39378985882176e-08,3.06611105786548e-05
"203940_s_at","VASH1",1.651262244125,7.75746987559091,7.99631070553526,6.46887910040301e-08,3.06611105786548e-05
"221220_s_at","SCYL2",-2.20989641329167,4.08212062731818,-7.98532053292508,6.61687960558398e-08,3.07092139528322e-05
"205787_x_at","ZC3H11A",-2.28060881670834,7.40700520622727,-7.90776364769795,7.76571313581811e-08,3.45483387653539e-05
"202840_at","TAF15",-2.05658815070833,6.90187477018182,-7.88870451295541,8.07831831235718e-08,3.45483387653539e-05
"213977_s_at","CIZ1",1.36967013054167,7.42996795027273,7.86918391814466,8.41196505654615e-08,3.45483387653539e-05
"205717_x_at","PCDHGC3",1.66417420275,8.83034661372727,7.86900706203838,8.41505199781763e-08,3.45483387653539e-05
"213598_at","213598_at",-1.99485302070833,6.84776147031818,-7.8686294922001,8.4216462135154e-08,3.45483387653539e-05
"202116_at","DPF2",1.26654699025,9.13464207927273,7.86134945147166,8.54983843261326e-08,3.45483387653539e-05
"205369_x_at","DBT",-1.428689434875,4.99720375731818,-7.85430338657925,8.67582722897598e-08,3.45483387653539e-05
"202326_at","EHMT2",1.40763871375,8.07968036709091,7.85380708011231,8.6847734024322e-08,3.45483387653539e-05
"206536_s_at","XIAP",-1.26163886925,3.67306034040909,-7.84504924724056,8.8442120986036e-08,3.45653531439636e-05
"219679_s_at","WAC",-2.12716693666667,6.85499962709091,-7.80962576360523,9.52052898093064e-08,3.65670386393434e-05
"202039_at","MYO18A",1.73065537554166,7.25470719313636,7.79346442154287,9.84658548210976e-08,3.71783703025354e-05
"212617_at","ZNF609",1.04059848033333,6.68767223009091,7.77549415666575,1.02226854079023e-07,3.79551271386399e-05
"201508_at","IGFBP4",2.6037148145,10.7120340815455,7.72891735987635,1.1267994491208e-07,4.11503464394494e-05
"209079_x_at","PCDHGA1",1.528524582875,9.78476505040909,7.72030548599322,1.1473031222891e-07,4.12033396461897e-05
"208454_s_at","CPQ",1.83641314408333,8.2931002535,7.70421460098741,1.18664997070587e-07,4.12033396461897e-05
"206572_x_at","ZNF85",-1.64530164220834,5.43479719045455,-7.70041219700509,1.19614942737793e-07,4.12033396461897e-05
"53991_at","DENND2A",1.47005625574999,7.73387561218182,7.6979929326645,1.20223417740375e-07,4.12033396461897e-05
"202652_at","APBB1",1.21257446879166,6.51388782554545,7.66363604362639,1.29217247992011e-07,4.36147368714852e-05
"218918_at","MAN1C1",2.3296254385,7.73819874963636,7.640292581339,1.35721151401822e-07,4.51262699966924e-05
"214422_at","RAD23B",-1.34847468029167,3.31841683740909,-7.60377391977681,1.46580211757221e-07,4.80201084899355e-05
"209454_s_at","TEAD3",1.557427626125,7.80291585322727,7.59607908693764,1.48980287622367e-07,4.80990415559923e-05
"205709_s_at","CDS1",-2.80702704429167,6.57842115754545,-7.5640801123249,1.59403412361961e-07,5.07289973883916e-05
"221885_at","DENND2A",1.26130788641666,7.28943327409091,7.54422760575104,1.66244884051203e-07,5.2161088478995e-05
"202151_s_at","UBAC1",0.996853176416661,8.34357442472727,7.52028393287312,1.74900292202279e-07,5.41146362415301e-05
"209687_at","CXCL12",2.6937646695,9.95534954018182,7.51166867874874,1.78127014421066e-07,5.43580205514808e-05
"202572_s_at","DLGAP4",1.36065897225,8.08229441922727,7.49387072038995,1.84988568295322e-07,5.44852724683031e-05
"201828_x_at","RTL8C",1.29933900025,10.8546560541364,7.49265938504761,1.85465347848137e-07,5.44852724683031e-05
"211022_s_at","ATRX",-2.37845051608334,5.0624741745,-7.49160486799311,1.85881434106524e-07,5.44852724683031e-05
"212358_at","CLIP3",2.17536776954166,8.80530777259091,7.47064927752671,1.94352342446371e-07,5.55022570339764e-05
"215338_s_at","NKTR",-1.87046326654167,7.75900849286364,-7.4667309685933,1.95979844725351e-07,5.55022570339764e-05
"214180_at","MAN1C1",1.83285748520833,7.18932986209091,7.45253225290494,2.01995887963631e-07,5.55022570339764e-05
"221015_s_at","CDADC1",-1.19186110504167,3.71127657081818,-7.44871441064853,2.03645729461645e-07,5.55022570339764e-05
"214499_s_at","BCLAF1",-1.976541439,6.93884473322727,-7.44812555315705,2.03901430346721e-07,5.55022570339764e-05
"205462_s_at","HPCAL1",1.67964549320833,6.86389424009091,7.44720981629756,2.04299729621855e-07,5.55022570339764e-05
"207624_s_at","RPGR",-1.736454750125,5.54868096659091,-7.43476094801995,2.09794511108044e-07,5.58353067399368e-05
"221802_s_at","SHTN1",-2.33057035945834,7.49560775090909,-7.42942422195509,2.12196452805056e-07,5.58353067399368e-05
"221274_s_at","LMAN2L",1.10682299133333,8.652616903,7.42365972866431,2.14822746282429e-07,5.58353067399368e-05
"209743_s_at","ITCH",-1.11736111554167,4.604709321,-7.41816450877278,2.17357515377133e-07,5.58353067399368e-05
"205226_at","PDGFRL",2.97470142758333,8.12562560754546,7.40873073319559,2.2178104355954e-07,5.58353067399368e-05
"200613_at","AP2M1",1.24836738749999,10.3732307811364,7.39908600122486,2.26399355448766e-07,5.58353067399368e-05
"217370_x_at","FUS",-1.2290449955,7.68927310095455,-7.39777912309158,2.2703271652318e-07,5.58353067399368e-05
"211968_s_at","HSP90AA1",-2.84556423812501,10.1877233191818,-7.39610244182808,2.27847969456087e-07,5.58353067399368e-05
"211066_x_at","PCDHGC3",1.47252984874999,10.0059009384091,7.39561948599776,2.28083355628417e-07,5.58353067399368e-05
"212923_s_at","PXDC1",1.5244169785,8.02556605327273,7.38614872469087,2.32750200328233e-07,5.59800379546023e-05
"205947_s_at","VIPR2",1.49854929629166,5.59404700095455,7.37932158649415,2.36175235292995e-07,5.59800379546023e-05
"215936_s_at","WASHC4",-1.748455248625,4.81363859245455,-7.37687425501001,2.37415604741306e-07,5.59800379546023e-05
"201484_at","SUPT4H1",1.19177826908333,8.16841522140909,7.37430261532115,2.38726202167582e-07,5.59800379546023e-05
"203894_at","TUBG2",1.24235113666666,7.03891713327273,7.36082326731785,2.45718571585566e-07,5.70195064501213e-05
"209883_at","COLGALT2",1.61079993975,5.23951404327273,7.3488555564285,2.52103367494766e-07,5.78980073987722e-05
"203276_at","LMNB1",-4.07248085929167,6.07496109286364,-7.33336066515213,2.60624401023781e-07,5.84780954785765e-05
"219439_at","C1GALT1",-1.85523001245833,6.41461792968182,-7.33025525126669,2.62367495298065e-07,5.84780954785765e-05
"203666_at","CXCL12",2.23163337341666,8.7334215675,7.33001232549737,2.62504356415031e-07,5.84780954785765e-05
"204854_at","P3H3",1.94399913033333,7.39752164395455,7.31874735974367,2.68932249194029e-07,5.93168684682712e-05
"203216_s_at","MYO6",-2.186319998625,7.57663105531818,-7.30751935704854,2.75500310410751e-07,5.94835273512036e-05
"209352_s_at","SIN3B",1.05747193391666,7.73118057504545,7.30587730582793,2.76474605701407e-07,5.94835273512036e-05
"205330_at","MN1",3.21970915491667,6.67595732645455,7.29846442494957,2.80917289256371e-07,5.94835273512036e-05
