"probe_id","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val"
"217544_at","217544_at",-1.57162138154167,3.03050967545455,-13.222890707386,7.16920769454987e-12,1.59708439811488e-07
"213956_at","CEP350",-2.127917773125,5.67104863177273,-10.9773118853496,2.47049556245333e-10,2.75176148223864e-06
"221683_s_at","CEP290",-2.66222794758333,5.9362455155,-9.68013630641534,2.43606441092874e-09,1.7087350608324e-05
"222264_at","HNRNPUL2",-1.57505722958334,6.73991037536364,-9.55532526008625,3.06816009486448e-09,1.7087350608324e-05
"220342_x_at","EDEM3",-2.12689225270833,5.19520241154545,-9.22765411399008,5.67409033654125e-09,2.52803420854259e-05
"219754_at","RBM41",-2.619665568375,6.024632886,-9.06155013145039,7.78918888204233e-09,2.66678578521517e-05
"222286_at","SNAPC3",-2.183722582625,4.92892764431818,-9.02349638725579,8.37971921556144e-09,2.66678578521517e-05
"207605_x_at","ZNF117",-2.10402630125,4.84633744227273,-8.95099831356766,9.63643221542902e-09,2.6833850057889e-05
"210057_at","SMG1",-2.176023623375,3.59889562268182,-8.74058713748678,1.45114799519373e-08,3.59191376543675e-05
"210042_s_at","CTSZ",-3.62321385058334,8.094978923,-8.56999986936658,2.03090034090634e-08,4.42737192044786e-05
"215170_s_at","CEP152",-1.32410555404167,4.05491586336364,-8.49916921622166,2.3376874595745e-08,4.42737192044786e-05
"218228_s_at","TNKS2",-2.88488702720834,7.00633400131818,-8.45651733808386,2.54516338063778e-08,4.42737192044786e-05
"214657_s_at","NEAT1",-1.66547570545834,5.53295758413636,-8.41621895959912,2.75868911066082e-08,4.42737192044786e-05
"204243_at","RLF",-2.46395593845834,6.69197470013636,-8.33537113477399,3.24470842827301e-08,4.42737192044786e-05
"215338_s_at","NKTR",-2.08751509104167,7.75900849286364,-8.33318347197782,3.259025962697e-08,4.42737192044786e-05
"215057_at","EOLA2-DT",-1.728537700375,5.81781363895455,-8.32772607426787,3.29502792499908e-08,4.42737192044786e-05
"202840_at","TAF15",-2.16779909920834,6.90187477018182,-8.3152898314694,3.37861124243002e-08,4.42737192044786e-05
"215425_at","BTG3",-1.92523211833333,4.22773032145455,-8.24846736564758,3.8667526274327e-08,4.78553601562879e-05
"221015_s_at","CDADC1",-1.31017313804167,3.71127657081818,-8.18812317349209,4.3701247215252e-08,4.93405195075156e-05
"201635_s_at","FXR1",-1.64995380670834,7.99401511645455,-8.18145798781502,4.4297274774445e-08,4.93405195075156e-05
"202261_at","VPS72",1.35105330083333,8.70133537036364,8.06768524735043,5.58724006203152e-08,5.92699746961315e-05
"212926_at","SMC5",-2.41006279545833,6.19437224204545,-8.01306158096268,6.24983837005377e-08,6.16464030684843e-05
"208003_s_at","NFAT5",-2.30300828220834,7.33680095104545,-8.0042024460872,6.36471369832176e-08,6.16464030684843e-05
"213598_at","213598_at",-2.00619779408334,6.84776147031818,-7.91337856265,7.67601747878896e-08,7.0249990001925e-05
"206572_x_at","ZNF85",-1.68804879820834,5.43479719045455,-7.90047929291332,7.88369057794194e-08,7.0249990001925e-05
"205369_x_at","DBT",-1.423245868875,4.99720375731818,-7.82437706541721,9.23263641758027e-08,7.88610172674487e-05
"215936_s_at","WASHC4",-1.847483268,4.81363859245455,-7.79468148640844,9.82163500871534e-08,7.88610172674487e-05
"203479_s_at","OTUD4",-1.48896475195833,6.28891211145454,-7.79028592443552,9.91205496022159e-08,7.88610172674487e-05
"205787_x_at","ZC3H11A",-2.24118706245834,7.40700520622727,-7.77107299171927,1.03174656053395e-07,7.92559245828094e-05
"221244_s_at","PDPK1",-0.898049266250001,4.68134414827273,-7.71614298325537,1.15735091854668e-07,8.55398978460392e-05
"220828_s_at","LINC01949",-1.09935477829167,3.08915704863636,-7.70273090569268,1.19034736868843e-07,8.55398978460392e-05
"217370_x_at","FUS",-1.274652158,7.68927310095455,-7.67229447105791,1.26887267211478e-07,8.60017058538107e-05
"218641_at","ZFTA",1.03935077616666,9.33301786604545,7.66658349548382,1.28419180217095e-07,8.60017058538107e-05
"212177_at","PNISR",-2.374770001125,7.90971034563636,-7.65479152172966,1.31642852399757e-07,8.60017058538107e-05
"212332_at","RBL2",-1.78009720191667,6.07081217886364,-7.64240267791445,1.35119616864182e-07,8.60017058538107e-05
"219679_s_at","WAC",-2.07536235879167,6.85499962709091,-7.61943177409198,1.41818610394905e-07,8.77581439935359e-05
"210137_s_at","DCTD",0.854644189916661,8.97531744886364,7.56278809758412,1.59839709976055e-07,9.29181847500702e-05
"212286_at","ANKRD12",-1.99449742420834,6.07304250772727,-7.55690777555401,1.61841014935976e-07,9.29181847500702e-05
"205578_at","ROR2",1.24542281279166,7.46676291295454,7.55449266554111,1.62670431622424e-07,9.29181847500702e-05
"215399_s_at","OS9",1.28344018420833,8.99867105036364,7.5372712043621,1.687131088099e-07,9.39605481239534e-05
"207624_s_at","RPGR",-1.755139322625,5.54868096659091,-7.51476034330707,1.76962080948535e-07,9.47449895073203e-05
"221829_s_at","TNPO1",-1.78950357695834,9.64961665,-7.50768711481281,1.79638903615554e-07,9.47449895073203e-05
