"probe_id","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val"
"202992_at","C7",6.28892954246455,8.42658716493799,44.8111905915007,3.92990997341896e-23,8.75466044778541e-19
"204971_at","CSTA",3.95977351555725,7.34244041151601,35.0246650001504,8.30867699174159e-21,9.25461986725137e-17
"208131_s_at","PTGIS",4.91962767469102,8.13287603318089,30.3721725158166,1.80349376144489e-19,1.33921435079026e-15
"210002_at","GATA6",4.91354118094961,6.79694756677073,28.556267463356,6.78824804597175e-19,3.08375474839707e-15
"212190_at","SERPINE2",4.11149348489426,9.04288849100529,28.5304417390823,6.92138696502462e-19,3.08375474839707e-15
"203710_at","ITPR1",2.91585538489712,7.32509467739697,28.069753944439,9.81516050454811e-19,3.15710841375247e-15
"219778_at","ZFPM2",3.14832202056393,7.54094393994075,28.0557950497178,9.9204376245757e-19,3.15710841375247e-15
"209560_s_at","DLK1",5.95988274219092,7.64861632328196,27.2048395354084,1.91953740308096e-18,5.34519184105432e-15
"201431_s_at","DPYSL3",3.50724434667974,8.87172650656451,26.8518543438995,2.53865252214487e-18,6.28372913731348e-15
"215388_s_at","CFHR1",4.36611828899276,8.37857013187029,25.467857789137,7.86295484344742e-18,1.75163045047478e-14
"204931_at","TCF21",4.46526053376579,7.64342234204598,24.9859282053731,1.18153928863009e-17,2.31124859614554e-14
"202796_at","SYNPO",2.58229328952032,7.31345605770982,24.9246327473931,1.24500530384462e-17,2.31124859614554e-14
"204591_at","CHL1",4.72478793141897,6.71077864672975,24.3589805801299,2.02938100500363e-17,3.47757851142045e-14
"216944_s_at","ITPR1",2.76934900916952,6.78589652547968,23.5279952293369,4.24191347399773e-17,6.7497933185891e-14
"211323_s_at","ITPR1",2.11327451463325,6.91688998601755,22.5544734520186,1.03821607467381e-16,1.54188929970056e-13
"201989_s_at","CREBL2",1.33792272194779,8.45230166943778,21.8119499828395,2.10526739480067e-16,2.78783233684538e-13
"213800_at","CFH",4.14756446447426,8.03444617332471,21.7477913642934,2.2401834749832e-16,2.78783233684538e-13
"37117_at","ARHGAP8",-2.31591566937026,6.44097801370837,-21.7420944455502,2.25259155466252e-16,2.78783233684538e-13
"213438_at","NFASC",3.54682366865413,6.22504574944931,21.6099176999092,2.56154225733052e-16,3.00334088771326e-13
"204223_at","PRELP",3.47340778884135,7.55753323480105,21.5137914085179,2.8137958194956e-16,3.13414647354517e-13
"219121_s_at","ESRP1",-2.11290564508462,6.08960153100662,-21.0851527213418,4.29766762117493e-16,4.55900674271018e-13
"206584_at","LY96",2.81481377931796,7.26101663529365,20.5154254946826,7.63929606707037e-16,7.7354817493694e-13
"215506_s_at","DIRAS3",4.54787282389855,6.95022918736472,20.3842197462366,8.73928011584931e-16,8.46456274525109e-13
"203868_s_at","VCAM1",3.8755718109213,7.46766100918664,20.008346204863,1.2904511030416e-15,1.1978074676024e-12
"209047_at","AQP1",1.77222864412765,8.03031647758289,19.5604000219449,2.071295206452e-15,1.84568973256525e-12
"202525_at","PRSS8",-2.13138394507827,6.25399842258357,-19.1660593582061,3.16716467903917e-15,2.71365105980599e-12
"214238_at","GDF7",-3.38132340750753,8.2423264288895,-18.8314887068264,4.5689780769965e-15,3.76974535634263e-12
"207480_s_at","MEIS2",1.78039530164821,8.05688828813862,18.5998203223664,5.90877893406969e-15,4.70106672550966e-12
"201957_at","PPP1R12B",1.86390477273376,8.4092166077005,18.5421610734288,6.30209035564465e-15,4.72152757879854e-12
"210103_s_at","FOXA2",-2.13771569514805,6.26254907936701,-18.5335587532596,6.36306934612799e-15,4.72152757879854e-12
"204114_at","NID2",2.01871245136522,8.23759363620355,18.5049493586873,6.57033509641131e-15,4.72152757879854e-12
"203953_s_at","CLDN3",-3.52122219157068,7.010332998237,-18.4396523064343,7.07019553080479e-15,4.92196080749182e-12
"218186_at","RAB25",-2.81331536483873,6.64025700245116,-18.1715944537013,9.57655610498434e-15,6.46475576820413e-12
