"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val"
"208131_s_at",5.07153691383093,8.1693514544449,10.5085396569394,3.13105349640684e-13,5.15217587894923e-09
"201431_s_at",3.04140863671027,8.60343619140372,10.3735115886319,4.62555629478766e-13,5.15217587894923e-09
"205330_at",2.65621297585952,6.78700405212216,10.1420293224979,9.07984750539075e-13,6.74239209591965e-09
"204223_at",4.11371161968745,7.39950815272918,10.0263797352054,1.27509495125081e-12,7.10132255725355e-09
"218918_at",1.85368352482073,7.51042865454001,9.87495825005812,1.99408456949659e-12,7.67648384488821e-09
"201689_s_at",-2.94056463606496,5.82284904551622,-9.86274949656949,2.06755411722087e-12,7.67648384488821e-09
"221747_at",2.19340314652227,7.98995947883069,9.76107705314534,2.79662462812059e-12,8.90005812009176e-09
"219850_s_at",-3.0914010963654,5.209628096752,-9.70182383696315,3.33691159661076e-12,9.29204745471224e-09
"205226_at",2.32249207369352,8.064792593083,9.61024053724103,4.3882230460526e-12,1.08618271996571e-08
"209621_s_at",3.60923959054272,7.25151815086284,9.55327120269772,5.2060514788995e-12,1.14649507792634e-08
"209047_at",3.07200076897763,8.18051917718791,9.52056793749282,5.74372940394639e-12,1.14649507792634e-08
"202796_at",3.08917924294472,7.66226291468638,9.49646068905118,6.17584995067383e-12,1.14649507792634e-08
"211276_at",3.46944145200534,6.52072700181745,9.44363090790565,7.24174434463098e-12,1.24095645204111e-08
"203706_s_at",3.68322737575048,6.97027833753233,9.23813617572086,1.34967365264753e-11,2.14761999714493e-08
"209613_s_at",4.60549984191059,5.15458703709352,9.07034600014793,2.2524812172997e-11,3.34523493851903e-08
"211275_s_at",0.89525361750457,9.09132390155815,8.99427591154451,2.84437983181174e-11,3.96026559457938e-08
"217897_at",2.09971558145818,8.52511695448881,8.89690793284431,3.83810990615229e-11,5.02950437525615e-08
"213929_at",-2.15502161809944,5.22071918198502,-8.87008932492917,4.16912312682017e-11,5.15975310534294e-08
"203705_s_at",3.02990965399359,6.35103281330893,8.83975085323381,4.57858524908567e-11,5.1765728308386e-08
"204931_at",4.41704742967412,7.14940455698791,8.83491894082756,4.64745955993949e-11,5.1765728308386e-08
"218665_at",1.23479361335338,7.4465417848152,8.81905801493426,4.88100084395583e-11,5.17781218099066e-08
"211235_s_at",-0.849189327980173,6.15812739788114,-8.75684278503542,5.91772233703157e-11,5.74997692845477e-08
"212736_at",1.0051257903916,7.74564945735262,8.73591740603887,6.31438837799811e-11,5.74997692845477e-08
"202808_at",1.07196438021832,9.09972937885515,8.73495720420839,6.33322264551286e-11,5.74997692845477e-08
"203304_at",1.77570179635593,8.14094855567041,8.71677203621229,6.70085483200351e-11,5.74997692845477e-08
"219091_s_at",2.05364032453432,7.09121242558009,8.7162879643617,6.71093056245563e-11,5.74997692845477e-08
"201792_at",2.7248789904865,10.052877321368,8.63357034686772,8.67874447405081e-11,7.09324879114345e-08
"209612_s_at",4.38190126885133,5.82858199594575,8.62492613217409,8.91551672810596e-11,7.09324879114345e-08
"201690_s_at",-2.54345137662704,7.86738879565518,-8.57584645042074,1.03892967468667e-10,7.53601004136428e-08
"219371_s_at",3.03348282512454,8.64137180699145,8.56654397849471,1.06952799088306e-10,7.53601004136428e-08
"214180_at",1.35933296102469,7.24535905261406,8.56374015508059,1.07892809770138e-10,7.53601004136428e-08
"37079_at",-2.53668084687001,4.74682227482453,-8.56267617249427,1.08251704144928e-10,7.53601004136428e-08
"200785_s_at",1.56145640643752,8.40269399719458,8.5348934426354,1.18062994896144e-10,7.85156270199619e-08
"213290_at",2.0035165327651,7.91319840724069,8.53012956204741,1.19833519714446e-10,7.85156270199619e-08
"222043_at",3.09850567058535,6.65238400986516,8.49273111897367,1.34699256828334e-10,8.57341526961371e-08
"208358_s_at",-2.01093199770448,5.47956528952396,-8.46039907654546,1.49047813390961e-10,9.22316149697345e-08
"202992_at",5.31588969843665,8.09416031585354,8.44817992156397,1.54864661912791e-10,9.32410830657094e-08
"200784_s_at",1.24907886872309,7.99425211726665,8.41977355993725,1.69290397387937e-10,9.92442679634494e-08
"204083_s_at",1.9892652242761,10.5730724018905,8.39553615011174,1.8266928441731e-10,1.04341632024729e-07
