Term,GSM175766,GSM175767,GSM175768,GSM175769,GSM175770,GSM175771,GSM175772,GSM175773,GSM175774,GSM175775,GSM175776,GSM175777,GSM175778,GSM175779,GSM175780,GSM175781,GSM175782,GSM175783,GSM175784,GSM175785,GSM629719,GSM629720,GSM629721,GSM629722,GSM629723,GSM629724,GSM629725,GSM629726,GSM629727,GSM629728,GSM629729,GSM629730,GSM629731,GSM629732,GSM629733,GSM629734,GSM629735,GSM629736,GSM629737,GSM629738,GSM629739,GSM629740
AIZARANI_LIVER_C10_MVECS_1,3838.664694192753,3332.2129047340413,3338.1257360517257,3632.9548357700614,3233.9090650595153,3369.068053736386,3285.987117257796,3606.6628156451543,3687.1027660692052,3126.0141078741162,1964.3986313684882,2337.4020172800756,2086.8117812741566,2847.256715214492,2304.3099095191774,2410.648756536886,2002.7247371209842,2073.183765681464,2167.3386218349215,1982.4005356179414,2269.1022062167376,2349.5017308321912,3545.50892797541,2162.5147941541245,3569.9744373589338,1915.7143294932584,3064.7731390557374,3378.132449452304,2209.6299456646248,3784.9935494064302,1851.8683624617024,3940.9360072722548,2360.663689541512,3618.975572696556,3562.587845478475,2550.7758193651016,2148.0289676351667,2575.400712115511,2817.665248727907,2392.690764500173,2929.6698809344407,3233.4586637137418
AIZARANI_LIVER_C11_HEPATOCYTES_1,479.94138562824264,583.2143454799534,322.69610061711774,416.8897745154263,565.2339355347167,351.5217654854314,634.5560429453262,515.0992326144715,373.27049651864945,838.5325277231386,-168.4221168888953,-57.95793175581548,32.360489654888625,505.01078089421935,-129.62920620131445,-162.52317584143475,-119.20300576347654,-112.35314150765134,-136.59421341714096,-122.5656457345849,-95.22403106580532,-89.61412333239605,303.4474604329198,-100.3608982977621,571.0353323558329,74.91219398713565,305.0400852026578,419.6643873603525,-103.24193890542756,638.5963123681449,409.10722254293614,601.0668968165219,10.67312679841416,299.78503512477437,717.1575690611598,-45.771156363791306,-172.76461767855653,241.37681932028954,382.76114389576014,347.02074696360705,453.945369961325,796.6744972663764
AIZARANI_LIVER_C12_NK_NKT_CELLS_4,1730.92961116463,1977.514095195943,750.650634226432,2786.4355158682665,2786.4476261815716,1704.4586062493354,2142.3097728688826,1637.632566235111,1739.3065777053662,974.9415109392785,1566.2594571853333,1870.7293229047564,1316.584555653485,2551.9242125729224,1437.4408555673826,2468.011611968129,1534.968856958395,1660.2534290243339,2492.2361927092415,1084.3310578421815,1177.1526442312015,1543.3639050693155,1537.5030927486287,968.6578165187002,2469.2559313335287,2137.670670434154,2549.7618864464976,2097.631975464453,988.2519748242476,1626.028404302131,2332.4751630686587,2485.901113024218,1706.4609253994568,904.9648363921488,1099.106839325913,2409.3516767379388,852.5836056444296,2132.4983115541827,2719.119772752315,2102.5718794925488,2914.5032353654788,1376.861164470577
AIZARANI_LIVER_C13_LSECS_2,3294.1785537164687,2953.1939046056123,2903.2307022883087,3215.1980342396555,2888.63265537627,3000.123981182527,2888.3289843500033,3125.932454854179,3213.446291123919,2735.8498958440823,1619.9986404599913,1942.993088112321,1679.7271638990524,2320.1521367449704,1968.129400731881,2086.098286909046,1631.6029385038019,1637.7643670950902,1807.7829982373569,1608.5126699257116,1863.4779004411885,2035.7969295460935,3052.330342570095,1816.1738475761977,2910.981236988381,1636.563581069735,2522.8269036538995,2923.462330207659,1854.6536305195486,3344.253234727651,1661.4896351376965,3327.424333926723,2004.288843958374,2945.925846279636,3211.0988503124736,2201.8604105067034,1823.35744244523,2150.4109212014073,2378.9253054590417,2099.599481139967,2578.5983946939323,2894.1124998819805
AIZARANI_LIVER_C14_HEPATOCYTES_2,657.01313313027,750.8733049258071,501.29889897901376,625.4869349446462,805.15176550453,546.1265814129065,953.9397287096499,724.267615363633,517.5630364577064,958.5808608393409,97.6655487658636,98.26812139720278,302.25547920225563,628.473990694737,15.503963724072491,72.8355822057838,176.288231458253,320.34343312956116,133.26816951185992,181.5308420791971,164.63932754471716,155.64842122052778,688.0823063932967,-169.39133765370116,1116.6918226200887,369.867907589316,291.68292991317685,872.929230809099,-185.66927200191822,941.2678555898556,773.0439826878364,747.3399163682743,232.46865738381894,228.41354056982163,1002.7200542284099,298.3214410579585,-247.0141354648431,578.7207769438364,531.9769233659827,464.3482168248065,896.1466945582006,888.6188367499981
AIZARANI_LIVER_C17_HEPATOCYTES_3,420.9335728467786,474.6495360382705,-90.2218964462827,319.5621024949214,485.7124740820973,87.97277666304763,622.2094271048591,261.0540010477589,154.85004548341294,173.97471612028312,-1035.5845614267919,-745.0901428557472,-642.109719413681,129.5927949909019,-980.5916045542353,-781.9100002248188,-751.7141030029543,-751.0464001243463,-779.1813556769248,-1025.6018786956956,-730.3675926528595,-863.5840149194892,18.255922296094468,-1090.7481377123486,656.177084642617,-302.8241465138053,-302.9986066979127,426.98498577618557,-1015.4389626365264,484.8962063239287,215.82553922307943,407.4848613718523,-637.5110091593942,-49.78555624785258,198.78587919938218,-544.7376333750608,-1324.962692721606,-82.5778057088155,-119.85831890467762,-429.0101177402403,582.9152441911456,574.4292170792642
AIZARANI_LIVER_C18_NK_NKT_CELLS_5,2989.3710033832813,3020.9969391002905,1153.2064817485416,3708.3257313750173,3266.5786444345104,2673.6795158345712,2983.1869317794044,2870.88325605751,2255.77724843577,2095.6471115250542,1341.054827395691,1936.0436597877342,1402.5589379146459,1940.4369537290759,1144.8716784200542,1353.9183425558422,1267.3940957678706,1375.2696947521808,1705.7018036161198,1335.247623145161,1220.4330241500757,1582.546787359851,2544.965621189627,1003.1095983511823,2818.415574703663,2461.6517051712017,1872.442745690867,2501.3458062952204,1063.8834407245722,2276.0616556227915,3366.7651177620373,3314.5685482317494,1604.4613103212578,2002.3101744024616,2274.98486343891,2131.4557472672523,997.2122573652377,1770.453859583091,2154.58614362955,1630.6639688115756,3226.6736564562652,2451.303970138335
AIZARANI_LIVER_C1_NK_NKT_CELLS_1,1804.1477689139056,1988.5722222205059,735.0461804487813,2909.764907250088,2467.6086531520486,1306.6339740384565,1983.2609468965284,1591.9030261796315,1413.2543963444214,597.2518763479939,1064.119412350784,1280.8616844426579,903.814155357084,2065.234350642807,1111.5182084805292,1942.371257597677,1328.32209181265,1372.7800414349513,1814.3167915660688,737.7614989606227,857.3177471313138,1257.2825062315633,1837.1578070255591,515.0137076489718,2222.899479839921,2096.584875695481,2076.199585094423,1978.430105057073,552.0687676056323,1723.2444527024581,2331.3229617966253,2019.0951641375577,1083.4404542299417,824.5889045086624,874.9416467859928,1957.9870556703008,479.4135323522851,1702.858917404943,2284.3762192333925,1581.9977661583262,2326.8965421078674,1275.467705992628
AIZARANI_LIVER_C20_LSECS_3,3005.4688056268615,2948.218805479967,2405.0446971991014,2743.319315006278,2520.585513138746,2529.4971700249935,2413.8688564717313,2838.423633257784,2923.8922503526674,2669.6427689808115,1649.367025958919,2343.9518351454635,1607.4517846154295,2476.947069676158,1797.087441711601,2008.3157908774838,1570.4331552023095,1459.5687648766689,1651.6374282750203,1421.7202327714003,1818.662322024643,1901.8945898694992,2346.4717789779115,2072.899591180246,2250.6785600524627,1841.7875675488795,2702.2344372026173,2233.537913071561,2096.247824327138,2489.0106485853157,1840.8207213248907,3083.3918523438715,1816.908077334011,2693.0455852107834,2723.903426645089,1962.5774139916648,2096.8623397572883,1929.4183068023522,2434.955035189564,2027.5535909448372,2365.2245007567544,2599.6053906157777
AIZARANI_LIVER_C21_STELLATE_CELLS_1,5068.199102428578,4938.261602769073,4668.277608032079,4848.139987086929,4852.279385950826,4571.792594881966,4711.435604297959,4675.24806753277,5028.838837828792,4180.9380101614515,3157.6680266969333,3835.827835194056,3185.129056203543,4111.900314918437,3431.6450095415366,3955.5043081608337,3136.699259199153,3105.049857020984,3568.1295074231894,3125.8613255164973,3517.268986647444,3760.0523754009,4840.232450511451,3183.5873300134417,4905.201830575935,2715.4493943809302,4398.357357144739,4791.50083207807,3125.407719709371,4982.7351470492995,2574.296583056639,4907.100873394927,3709.015594160318,5019.068838890828,4770.195764431261,4214.234746595434,3166.512114286281,3923.4056907291224,4133.878651245082,3860.996326887377,4561.677026209445,4853.161408845384
