,T cells CD8,T cells CD4,T cells regulatory,B cells,Plasma cells,Macrophages M1,Macrophages M2,Monocytes,NK cells,Dendritic cells,Neutrophils,Mast cells
GSM629719,0.09036701749744479,0.08514448762684464,0.07462324267406859,0.07723291050787691,0.09015720058363451,0.08952917497595528,0.08247989206912103,0.07765946631805588,0.08811508572898967,0.09451831488965491,0.0808187115028039,0.06935449562554988
GSM629720,0.09084337441385072,0.08927327116295596,0.07310110291819755,0.07989013449754584,0.09009177998655281,0.08519837278958906,0.08750522635598385,0.07428659690215397,0.07805179228485185,0.08732690649535513,0.09041716978741397,0.07401427240554932
GSM629721,0.07086981276878696,0.09307628422304451,0.08513786586069018,0.07335047942984958,0.09992916680715448,0.088280499369873,0.08835473823046351,0.07293458123363185,0.08297879021321433,0.0884696568321227,0.07853786019770756,0.07808026483346121
GSM629722,0.10422154032650867,0.09223092959047684,0.07152648278708756,0.09041680166389879,0.08625901688236443,0.07848226913666795,0.0781202666687296,0.07381872470841624,0.08530306571805689,0.08369360573850083,0.08488643831489397,0.07104085846439825
GSM629723,0.06864503558205808,0.10391557384146123,0.08136735789901524,0.07658069333107174,0.09380889377038061,0.08332083507673196,0.08656143939465889,0.07302012173328373,0.08270498308560426,0.08582138814456272,0.09322514625923642,0.07102853188193521
GSM629724,0.07820092901402642,0.09101241927193883,0.07892218350189205,0.06426509997495411,0.09884883048792582,0.10227118225097556,0.07278062012823718,0.08143166871277692,0.08386615978062985,0.09987551507873114,0.08294479361488731,0.06558059818302456
GSM629725,0.07973387855222681,0.09406458229625773,0.07859783382752646,0.08410933767122283,0.08558810307781976,0.08315888163595447,0.07929029323307697,0.07264869272000794,0.08360971210711081,0.08937175119716144,0.10664439567094879,0.06318253801068612
GSM629726,0.06907283729232633,0.09705486444506571,0.08483399597935061,0.07406546009327629,0.10077476985220611,0.08774731833850548,0.09340376301514133,0.06813191517995767,0.0779688212593399,0.08943172507220855,0.0814854018606427,0.0760291276119792
GSM629727,0.0996245025562045,0.09192177195401029,0.07111497625985783,0.08714471753562127,0.08871249904500554,0.0855481596857362,0.08176705576249774,0.07477033452932484,0.08609894200686036,0.08494757084147778,0.08004909170129536,0.06830037812210832
GSM629728,0.06947332069924456,0.09182574211014116,0.08696997063352337,0.07101441731622088,0.1004819653101315,0.08638074739884333,0.08926719154162999,0.0720661856221685,0.07285491321935901,0.08996719237406986,0.0847617356797858,0.08493661809488211
GSM629729,0.0761474062056818,0.09081577140091708,0.07789949067861499,0.06496992995993366,0.09690964480410157,0.10216557194875987,0.07297009244255766,0.08485904695301918,0.08329920301738301,0.09808648701338527,0.08431416526544754,0.06756319031019851
GSM629730,0.07040503583609269,0.0945111172488567,0.07777748275041738,0.081214266367875,0.09178592232089046,0.0898738821329191,0.0888686650183705,0.07131139039091887,0.07800366356536505,0.09328390632655525,0.08288357305087643,0.0800810949908625
GSM629731,0.09912921030041165,0.08405516481437268,0.07142381528174885,0.08414527243280123,0.08513132160016021,0.08499740073180694,0.08237055406304734,0.07570314456056888,0.0815953961874238,0.08853977988542987,0.09347159775178822,0.0694373423904404
GSM629732,0.08354377240735639,0.09219628120812962,0.0866187830886645,0.08065625345344953,0.10448775967114363,0.08267458715761788,0.08606115196759176,0.06845962900805273,0.07672463069454721,0.09234081208308209,0.07276935790194984,0.07346698135841497
GSM629733,0.08064385963156276,0.08722404921966402,0.0954092783153974,0.07179218628755515,0.08934770374952594,0.08190609409571502,0.08223528895422973,0.07648939461176045,0.07096932499247084,0.08418695423158336,0.08548701891986005,0.09430884699067524
GSM629734,0.07774551136228372,0.09421780919419998,0.07569027490109538,0.07443509313936827,0.09813489418802446,0.08893642511796652,0.08860745701848478,0.07203866484329502,0.07708043839734666,0.0903144716567787,0.08988026323276019,0.07291869694839652
GSM629735,0.10305872393233835,0.09074276785949138,0.07454642131010128,0.08967562486112207,0.08555467453024176,0.07926294460518832,0.0753502454188824,0.07367207150041244,0.08514015152318624,0.08468111526273035,0.085115577914581,0.0731996812817244
GSM629736,0.08452574873775794,0.08752125685775572,0.07338935515511712,0.0698001393739598,0.09765294774274182,0.0863734168955579,0.08937760558902078,0.07762400084212963,0.08919582417435021,0.09380131835414032,0.08609880767427025,0.06463957860319823
GSM629737,0.07440557880386156,0.0913264181636337,0.07573700628437147,0.08678151122375717,0.08412793830166952,0.08238278345172727,0.08364007183700133,0.08027836157908741,0.08449697432905502,0.0854293097618152,0.1066190068831621,0.06477503938085832
