Cell_Type,F_Statistic,ANOVA_P_Value,Normal_vs_Diseased_PValue,Fold_Change_Disease,Mean_Normal,Mean_Diseased,Significant
T cells CD8,14.371638994863293,2.0666817183781892e-06,1.7977441602388807e-06,0.7659433435048107,0.09210766661617868,0.07055002007376585,True
Mast cells,14.126059703292198,2.4488233369442915e-06,3.121969414787391e-09,1.2322713545553314,0.06621588250488955,0.08159716749873147,True
Plasma cells,10.182780832824488,4.673460281652088e-05,1.8411655020047283e-05,1.1145376404342573,0.08780563051221418,0.09786379478556585,True
Macrophages M2,8.032934311131834,0.0002872427121738784,0.002759615415631589,1.0635680566117445,0.0802061465178262,0.08530575894833786,True
NK cells,5.301080359670238,0.0037530375979106987,0.0002333080815433153,0.9056380535940916,0.08464654797279657,0.07666004058759597,True
T cells regulatory,5.010091772798839,0.00503137230560221,0.0029625177074502906,1.0821460483240672,0.07588507484467721,0.08211981601599186,True
B cells,4.607317836178347,0.007598293240775547,0.0026101694707471425,0.8952899382820318,0.0820336993627576,0.07344484092946829,True
Neutrophils,3.0280743145217017,0.0411276403519257,0.204478983473861,0.9555807712449692,0.0893926819733733,0.08542288356454356,True
T cells CD4,2.935023055320922,0.04558643386514382,0.008478682478977205,1.0496655303177347,0.08977978201311375,0.09423979216413599,True
Monocytes,1.6500077472269814,0.1940536503555419,0.7931693030079101,1.0045475719805428,0.07517538828899259,0.07551825832597402,False
Dendritic cells,1.1262264019341612,0.3506250589869566,0.11967260848170692,1.0318429385257541,0.08869545841500986,0.09152081428777113,False
Macrophages M1,0.7242468336457345,0.5438095319553246,0.3086494196986188,0.9738779757473054,0.08805604097817046,0.08575681281811817,False
