Term,GSM175766,GSM175767,GSM175768,GSM175769,GSM175770,GSM175771,GSM175772,GSM175773,GSM175774,GSM175775,GSM175776,GSM175777,GSM175778,GSM175779,GSM175780,GSM175781,GSM175782,GSM175783,GSM175784,GSM175785,GSM629719,GSM629720,GSM629721,GSM629722,GSM629723,GSM629724,GSM629725,GSM629726,GSM629727,GSM629728,GSM629729,GSM629730,GSM629731,GSM629732,GSM629733,GSM629734,GSM629735,GSM629736,GSM629737,GSM629738,GSM629739,GSM629740
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN,2166.529895885921,2166.9709895972883,2098.4873666797093,2225.06996728419,2198.4801013218384,2206.500273719799,2092.9075896695913,2134.264444492188,2095.8760465423757,1774.9771874876978,1911.7948805421129,1983.3671341066238,1915.977490789115,1976.9511457359604,2058.5194519014913,2100.9060912308205,1999.035667223553,1815.3385607028367,1948.8758705367445,1965.8462923026827,1866.4474535340687,1829.6366791319906,1955.9511265427718,1847.0865434671823,1856.7772203297573,2151.7751291047316,2112.250437762582,1886.7375568014086,1828.881083498909,1884.7333678273626,2132.80896232571,2061.4949234416918,1803.4421355216846,2026.0035162452405,1735.4647772809312,1877.6756134904408,1851.7817000399973,1921.5922317187315,2010.3521443142326,2004.9092915650708,1817.3069628504654,1942.7930077906394
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP,1491.9140565408852,1298.6429762607322,796.5571408873811,1230.7211588606087,1215.1302737350861,1023.5877763643202,1195.1685171263634,1086.4508635576685,1052.1392238871877,1473.5359978385477,2997.3546597925624,2479.615716378081,2294.93671231442,1684.5666673746127,2048.055988123897,2035.5243239134297,2351.5227283645545,2766.8556652884417,2936.3113210873335,2545.880910935307,2474.11846216257,2674.728339985466,1392.2711563210205,3171.4498328525387,1333.9783219326673,1479.660374972862,1867.6340566433482,1158.7855695470553,3128.700014575863,961.496246684932,1630.4321818310327,1498.856340156257,3065.548124272944,1246.1382558368423,1841.4587671690379,1618.0223210130107,3085.6227847396885,1858.5921420287723,1760.3098791237808,1846.5028445187363,1473.8863539696204,1834.5319071010326
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN,1670.6270080301729,1449.3287726527342,960.2524563431152,1589.6186162078939,1497.3512428808472,1233.8272388012929,1344.333793775394,1313.396642141728,1235.9209385134518,1416.554734359418,2642.670745519945,2162.7875969141196,2065.203638613005,1724.6602537417693,1867.70735389131,1968.7598891900416,2087.3914310501304,2590.0863836235985,2662.9432854838196,2268.8993767791444,2244.3914210718494,2531.6819519709406,1469.8172523457324,2701.87494317683,1538.2508999634792,1483.3306464478792,1897.692055625138,1354.5295053888976,2691.6254559428016,1186.6043502194998,1724.8606355556012,1611.5647143453216,2786.1655960091703,1277.7110375664852,1725.3822038636727,1729.6968441683048,2644.643579233548,1861.2867019391388,1825.101719962774,1696.1133627702302,1598.8602877405883,1794.7024637619843
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP,2258.450793358883,2340.277941848317,2176.768336771048,2356.326786927146,2275.590075476004,2323.7641964284694,2227.843215022871,2277.587443911909,2283.474270773494,2133.2348946282837,2304.3377142821564,2367.5811501362496,2404.2787106915957,2297.940157957466,2402.025824392882,2361.995031410691,2365.933226730089,2351.9034762708716,2392.4391287668095,2333.563951360841,2372.069563873313,2287.78393637492,2345.875267106602,2144.015884164781,2268.6170859629337,2232.263322070984,2185.619058243682,2401.3733794184154,2044.9750681508121,2300.2776791524293,2230.9407962870764,2297.7709794152333,2266.7869540597903,2159.6604067178387,2267.103976458433,2416.4241679024835,2114.8032615435823,2400.071966145002,2270.1969313899326,2310.638220618148,2352.867710741789,2246.279643420583
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN,1775.8831222120953,1753.6985917109305,1322.9143404997903,1999.2150730401654,1902.3444036839883,1498.7495151298745,1718.0678751667465,1581.3197248108654,1519.784745944473,1226.8445502113073,1205.1636879473026,1243.6181110082525,1065.3278400959753,1829.1342237851286,1185.434954653866,1546.6679446936296,1199.715233848713,1226.2256618099645,1406.29934991569,1082.4792935450832,1003.612003783358,1330.9467276272908,1456.043153414761,1155.8351990586007,1682.1411404646115,1511.7574752557402,1816.0123787226903,1433.1951347084741,1153.9909871585005,1426.2719567781423,1746.8676200861746,1776.841606930083,1403.6360188440776,1458.9276232792736,1216.0316297103827,1516.306152208571,1141.0310693237734,1349.7222677173004,1794.5156890605203,1520.685737275725,1584.4980151542777,1424.2392840917828
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP,1974.0193849896823,2023.6974544748118,1726.4873301431599,1995.8265348802051,1972.954994890657,1804.2105826634852,1867.6840306130207,1861.1338933278112,1957.5725546252497,2099.682699239708,2248.8178944781757,2263.9558824338555,2144.154577539466,2138.5206975661695,2005.6222654556186,2104.832999126148,2064.1988625840877,2191.9839800163136,2191.2091894959467,2128.8460099125296,2089.5574480872638,2040.9421157415482,2047.3803622137511,1962.4691060799296,2031.3810291974687,1828.5340944481732,2056.2845690918502,2037.5079811833912,1854.1665896959166,1897.8592211307287,1885.6075706813263,2106.1122492522936,2125.0911114856335,1733.3363163758277,2073.2974680968255,2098.9760142699333,1933.8863800176368,2084.6803746044807,1998.4066891425437,2023.2843320019165,2238.1271262302507,1976.443890263723
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN,370.61651488484495,411.6089692796413,150.9736267434173,397.6484405052679,375.29865618800795,223.1675122520137,255.34424974000922,385.2391287308301,296.9072620536899,146.31062422101422,246.03564823552824,356.6715002417759,308.41809769354586,333.4753845879113,391.9446862924642,345.6289102448791,300.6388006830375,292.3578111546094,368.36651699208596,261.761399321661,363.52099048018226,301.5759930046943,444.00423183407474,217.509098433482,484.1909219472391,402.17824698146524,285.3883466373554,432.13934125880496,196.85763736141598,367.93048021243885,447.1363723738841,419.71023486414106,220.86685519372713,337.69346483415666,343.08739271514696,459.2384670623551,193.88939517503331,384.54581312495793,265.76123124765854,346.8703001208887,671.5640220487139,398.391562911067
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP,1630.875100386168,1670.011369196557,1784.4537122303636,1709.288226324221,1663.816377395945,1841.9553561950552,1680.8158043007807,1734.3019637204789,1657.282818153778,1576.5788415345232,1507.983186081974,1527.5239218694596,1519.988521818891,1650.222241110845,1642.3652308247447,1584.7516425765461,1549.1675458346072,1345.4455887002168,1493.8548071403666,1453.1457956478635,1293.9561673836524,1289.3754075261904,1058.264820530515,1650.2983229649954,957.9884798641788,1541.03522111458,1649.6650306435859,1081.4588679316375,1673.9660145604475,1101.3465492193927,1551.9050498567804,1312.7024954804601,1316.9422076951314,1565.2824218368505,1221.539779710337,1186.6577666431922,1641.0737558139626,1302.6156263977618,1495.316125486459,1339.8943924493924,876.8842008570227,1294.8176324475926
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_DN,1772.3745230296963,1842.7739894948145,1902.615962386416,1833.8651232989578,1799.1610460939974,1926.0041444235749,1835.6466210873368,1817.0154480065667,1926.8822418311292,1979.8675098611857,1803.3233730613501,1676.1302086576325,1725.376171883695,1689.837992268227,1661.179323104724,1858.17825295896,1767.972819203791,1843.3907518689139,1759.5113210573727,1808.7409252128082,2044.280511315318,2075.7252868109354,2058.7055590800865,1773.897927532711,2029.7213863699617,1735.985015420646,1775.1471935508062,2061.883016399078,1713.3932393141968,2133.873863954129,1752.6139436397661,1907.3274191671453,1929.7271341297283,1722.8660323266695,2214.8747258939466,2123.7601436761797,1794.0194740887428,1990.3661300795693,1916.5391011074971,2012.3963332409448,2039.1600086307571,2200.1583578433265
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP,930.562055629599,856.5427130446578,933.9989604711882,930.1779258461538,914.4326188493369,903.9026488110785,929.1964851027096,945.714486900778,971.5401759422193,639.5035646958486,602.5647540803402,712.0226105356078,622.1158699310317,818.4157218737355,763.8670838876296,772.4129362310568,698.6475238555004,758.6544689910934,717.1560319304308,652.2203976850615,763.8985781029978,769.8508538643027,828.3759633947393,690.2584947449241,1161.8418185030378,727.7980322622352,734.3760907335718,903.9016946772163,637.9164545097437,1081.99593401317,824.7983619552006,712.9250581404531,692.1801402404053,726.0695773931748,848.9558158518566,780.3851042878487,601.4229415345171,725.8805846029827,765.0724861547578,808.4365862229588,780.4080088331366,880.9929192689842
