"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010638","positive regulation of organelle organization","128/2669","466/18842",0.274678111587983,1.93911014557541,8.33901909077866,2.45916105846002e-14,1.44598670237449e-10,1.25923428016823e-10,"SORBS3/ATG5/VPS4B/STIL/SFRP1/ATR/ABL1/CLIP1/F2RL1/HSP90AA1/PYCARD/IL1A/SNX7/LMOD1/CCT6A/BAX/HNRNPD/OCLN/SMC2/PRKCQ/ARL2/STX18/CDC42EP2/FSCN1/NES/PLK4/TPM1/DLGAP5/BNIP3/BAD/GPSM2/FERMT2/C2CD5/ERCC1/IFT88/MNS1/PINK1/ACD/NCAPG/NCK1/USP33/CCDC15/BAIAP2L2/CCL11/DNM1L/YME1L1/BIN1/MRE11/PHIP/TOGARAM1/CNOT6/UCHL5/PLA2G5/CCP110/TNKS2/CX3CL1/CDC42EP1/NEK2/ELAPOR1/NUSAP1/NBN/KAT5/RB1/CCDC88A/RAD50/WNT4/PLCB1/CPAP/NCAPH/SYT11/SEMA5A/TGFB3/SMC5/SLF2/FES/SYNPO/ARHGEF15/PDGFB/SNCA/PLD3/CCL21/HNRNPA2B1/WASF2/SYT1/GPER1/HNRNPA1/NCKAP1/CEP135/AKAP9/RAD51AP1/GSN/RALA/CUL3/STXBP1/KDR/CCT2/MAD1L1/FHOD3/DCN/FIS1/ADD3/NPR2/IGF2/POT1/TPR/CCN2/LIMCH1/NAV3/GNL3/DCTN1/PML/CDK1/RAB3GAP2/MICU1/SMC4/SNX4/SPAST/RHOC/PDGFRB/RAD21/ATM/PPM1F/TAL1/KATNBL1/ATRX/FLNA/TERF1/ANXA1",128
"GO:0006913","nucleocytoplasmic transport","87/2669","299/18842",0.290969899665552,2.05412321075246,7.46393656225724,1.34277357799823e-11,2.15240043787416e-08,1.87441309907585e-08,"TNPO3/PIK3R1/EGR2/ASF1A/NUP153/UFM1/BMP4/DHX9/BARD1/YWHAB/THOC7/TNPO1/SRSF3/YTHDC1/SUMO1/XPOT/NUP107/HSP90AA1/NUP42/RGPD6/FRAT1/NEMF/RGPD8/NUP58/XPO1/PRP4K/NUP54/THOC1/THOC2/CETN3/NUP88/UPF2/ECT2/TRAF3IP2/APOD/IPO7/KPNA2/WASHC4/HCLS1/KPNA3/E2F3/KPNA1/ANP32A/SMG1/RANBP6/RANBP2/SSB/RGPD5/NUP62CL/MAGOH/NEAT1/ZC3H11C/FMR1/ZC3H11A/MALT1/AGFG1/MAGOHB/HNRNPA2B1/CAMK1/HNRNPA1/XPO7/NUP50/SMG6/EIF4E/RANBP17/TGFB1/HYAL2/APPL1/ATF2/POLDIP3/TPR/NUP210/TARDBP/CSE1L/CHP1/CDK1/CDKN1A/SETD2/KPNB1/GAS6/UBR5/AKT1/MX2/NDC1/FLNA/NUP160/NXT2",87
"GO:0051169","nuclear transport","87/2669","299/18842",0.290969899665552,2.05412321075246,7.46393656225724,1.34277357799823e-11,2.15240043787416e-08,1.87441309907585e-08,"TNPO3/PIK3R1/EGR2/ASF1A/NUP153/UFM1/BMP4/DHX9/BARD1/YWHAB/THOC7/TNPO1/SRSF3/YTHDC1/SUMO1/XPOT/NUP107/HSP90AA1/NUP42/RGPD6/FRAT1/NEMF/RGPD8/NUP58/XPO1/PRP4K/NUP54/THOC1/THOC2/CETN3/NUP88/UPF2/ECT2/TRAF3IP2/APOD/IPO7/KPNA2/WASHC4/HCLS1/KPNA3/E2F3/KPNA1/ANP32A/SMG1/RANBP6/RANBP2/SSB/RGPD5/NUP62CL/MAGOH/NEAT1/ZC3H11C/FMR1/ZC3H11A/MALT1/AGFG1/MAGOHB/HNRNPA2B1/CAMK1/HNRNPA1/XPO7/NUP50/SMG6/EIF4E/RANBP17/TGFB1/HYAL2/APPL1/ATF2/POLDIP3/TPR/NUP210/TARDBP/CSE1L/CHP1/CDK1/CDKN1A/SETD2/KPNB1/GAS6/UBR5/AKT1/MX2/NDC1/FLNA/NUP160/NXT2",87
"GO:0044089","positive regulation of cellular component biogenesis","122/2669","475/18842",0.256842105263158,1.8131955591489,7.29211750946383,1.46421798494841e-11,2.15240043787416e-08,1.87441309907585e-08,"SORBS3/PIK3R1/ATG5/FNBP1L/APC/EPHB2/VPS4B/STIL/SFRP1/ATR/ADCY7/SUMO1/CDH5/ABL1/CLIP1/F2RL1/HSP90AA1/PYCARD/SNX7/LMOD1/ROCK1/BAX/PALM/OCLN/ARL2/DDX3X/STX18/ISG15/CDC42EP2/FSCN1/THY1/PLK4/TPM1/CLSTN1/COBL/RAP2A/GPSM2/CLDN5/FERMT2/ERCC1/IFT88/PIK3CA/MNS1/PINK1/SRPX2/NCK1/USP33/CCDC15/BAIAP2L2/CCL11/BIN1/CXCL13/TOGARAM1/CNOT6/ACTR3/CCP110/PIEZO1/CX3CL1/CDC42EP1/DPYSL3/RASIP1/SLITRK3/ELAPOR1/CCDC88A/GPM6A/WNT4/AVIL/CPAP/TEK/BRCC3/MAPK8/TGFB3/FMR1/SLF2/FES/CAND1/SYNPO/ARHGEF15/SNCA/AGT/CCL21/PTPN22/TFRC/CAV1/WASF2/NCKAP1/ZMYND8/CEP135/RAPGEF2/AKAP9/ICE1/TGFB1/SYNDIG1/RALA/STXBP1/KDR/FHOD3/COL16A1/TPR/CCL19/CCN2/THBS2/CREB1/LIMCH1/NAV3/DCTN1/PSMC6/CLSTN2/RAB3GAP2/SNX4/CLU/ACTR2/RHOC/ATM/USP16/PPM1F/TAL1/FLNA/EMILIN1/TERF1/RHOQ/HYAL1",122
"GO:0032970","regulation of actin filament-based process","103/2669","380/18842",0.271052631578947,1.91351580524935,7.30801548857186,2.02137655307637e-11,2.37713882641781e-08,2.07012602123428e-08,"SORBS3/PIK3R1/ARFGEF1/SVIL/CELSR1/CSF1R/CXCL12/SFRP1/SUMO1/KANK3/RASA1/ABL1/F2RL1/PYCARD/GPM6B/DLG1/LMOD1/ROCK1/CAPZA1/ADD1/IQGAP1/CDC42EP2/FSCN1/TPM1/SLIT2/ARPC3/PDPN/KCNJ2/ARFIP1/FERMT2/ARHGAP6/PIK3CA/S1PR1/CNN2/CLASP2/ANK2/TWF1/CACNA1C/ECT2/NCK1/BAIAP2L2/CCL11/BIN1/PLN/DSG2/CAPZB/TMOD3/WASHC4/HCLS1/SPTAN1/GMFB/CX3CL1/CDC42EP1/IQGAP2/CRK/CCDC88A/DSP/WNT4/AVIL/SRI/MIR21/SEMA5A/PKP2/TGFB3/CTNNA2/SYNPO/ARHGEF15/CCL21/CAV1/WASF2/ASAP3/PDGFA/ACTA2/DVL3/KANK2/NCKAP1/AKAP9/DSC2/ABITRAM/RNH1/GSN/RALA/FHOD3/ADD3/RHOG/CCN2/LIMCH1/EPHA3/AP1AR/ADD2/CAPZA2/LRP1/RHOD/RHOC/PDGFRB/ARAP2/RDX/PPM1F/MYH9/ATP1A2/FLNA/CORO2B/RHOQ",103
"GO:0007015","actin filament organization","116/2669","448/18842",0.258928571428571,1.82792511909222,7.20481682054002,2.6935958709588e-11,2.63972395353962e-08,2.2987976908915e-08,"SORBS3/PIK3R1/ARFGEF1/SVIL/ABI1/CXCL12/ACTN1/SFRP1/SORBS1/KANK3/RASA1/ABL1/F2RL1/ACTC1/PYCARD/DLG1/LMOD1/ROCK1/ELMO1/CAPZA1/ADD1/HSP90B1/IQGAP1/CDC42EP2/FSCN1/ARPC4/TPM1/COBL/SLIT2/ARPC3/MYO1D/ARFIP1/MICAL3/FERMT2/MYO6/ARHGAP6/PIK3CA/MICAL2/S1PR1/CNN2/CLASP2/DBN1/TWF1/NCK1/NEBL/BAIAP2L2/CCL11/BIN1/PAWR/ILK/CAPZB/ACTR3/TMOD3/RHOB/WASHC4/HCLS1/RUFY3/SPTAN1/ANG/GMFB/CX3CL1/CDC42EP1/DPYSL3/CNN1/IQGAP2/ZYX/CCDC88A/WNT4/AVIL/ARHGEF12/MIR21/ARHGAP25/SEMA5A/CD2AP/TGFB3/CTNNA2/SYNPO/ARHGEF15/CCL21/WASF2/ASAP3/ARHGAP12/KANK2/NCKAP1/ABITRAM/RNH1/GSN/MYL9/CUL3/FHOD3/ADD3/RHOG/PPP1R9A/MYO5C/MAGEL2/MSRB2/EZR/CCN2/LIMCH1/AP1AR/ADD2/CAPZA2/DIAPH2/SHTN1/ACTR2/RHOD/RHOC/PLS1/RDX/PPM1F/GAS2/FLNA/CORO2B/RHOQ/LIMS1/TPM2",116
"GO:0042060","wound healing","104/2669","394/18842",0.263959390862944,1.86344055550378,7.03617897487311,8.74195512266347e-11,7.34324230303732e-08,6.39484610776958e-08,"HBEGF/EPHB2/ARFGEF1/CSRP1/VPS4B/ENG/TMX1/PLAT/CD34/PLAU/MYLK/METAP1/TBXA2R/HIF1A/F2RL1/SRSF6/PDCD10/CD44/SELP/AHNAK/OCLN/AJAP1/PRKCQ/SCARB1/TLN1/NACA/ANGPTL4/TPM1/ENPP4/COL5A1/WNT5A/CCN4/VWF/PDPN/FERMT2/PIK3CA/FBLN1/CLASP2/ITGA5/ILK/PROS1/VKORC1/CEACAM1/EPB41L4B/VEGFB/NFE2L2/ANGPT2/ANGPTL2/SRF/ITGAV/CRK/DSP/WNT4/TNFAIP3/F10/SERPIND1/PRRG4/TYRO3/PLA2G4A/NOS3/SERPING1/SYT11/SLC12A2/IL6ST/CHMP5/PDGFB/IL6/PROCR/CD40/CAV1/C1QTNF1/PDGFA/LMAN1/SERPINE1/DSC2/TGFB1/SVEP1/ERBB3/MYL9/STXBP1/KDR/JMJD1C/MCAM/CTSG/FGL1/AXL/NPR2/ENTPD1/DUOX1/THBS1/APOH/ACTB/CDKN1A/THBD/RHOC/FOXA2/FZD7/DGKA/STXBP3/MYH9/FLNA/EMILIN1/ANXA1/SPRR3",104
"GO:0007507","heart development","112/2669","438/18842",0.255707762557078,1.80518758415154,6.92642252612783,1.34547257332342e-10,9.88922341392711e-08,8.61200805416132e-08,"GLI2/APC/REST/HEG1/BMP6/BMP4/ENG/MSC/STIL/ACACB/ABL1/SOX18/ACTC1/PDLIM7/ROCK1/DCHS1/SOX4/PAX8/KRAS/SGCG/DNAAF1/NACA/TPM1/WNT5A/POU6F1/SLIT2/CLDN5/FHL2/APLNR/MSX1/MICAL2/S1PR1/ANK2/CACNA1C/TRAF3IP2/RGS2/NEBL/PDLIM2/CACYBP/OBSL1/SMAD5/BBS7/ILK/DSG2/INHBA/KDM6A/NKX3-1/PDLIM5/SEMA3C/NRP2/FKBP1A/SRF/POPDC2/PCNA/RB1/DSP/NIPBL/PDE2A/TEK/GREM1/MIR21/NOS3/MED1/PKP2/TGFB3/HEY2/FES/MYH11/PDGFB/MATR3/GPER1/SORBS2/HES1/MBD2/CXADR/MEF2C/LDB3/TIE1/ZFPM2/GATA6/TGFB1/KAT2B/ERBB3/GPC3/PTPN11/RAMP2/KDR/BMPR1A/FHOD3/PDCD4/ATF2/MMP2/TNFRSF1B/NFATC1/TNFRSF1A/CPE/CHD7/POPDC3/HSPB7/CDK1/CDKN1A/WDR11/SMYD2/ISL1/PDLIM3/PDGFRB/ERBB4/FZD7/NPY1R/EMILIN1/SLIT3/PDLIM4",112
"GO:0009611","response to wounding","122/2669","496/18842",0.245967741935484,1.73642719878171,6.75197665704818,2.90184362094086e-10,1.89587116568136e-07,1.651015157116e-07,"DHFR/HBEGF/EPHB2/ARFGEF1/CSRP1/VPS4B/ENG/TMX1/PLAT/LYVE1/CD34/PLAU/MYLK/METAP1/TBXA2R/HIF1A/F2RL1/SRSF6/PDCD10/CD44/SELP/AHNAK/OCLN/RIPOR1/AJAP1/PRKCQ/SCARB1/TLN1/NACA/ANGPTL4/TPM1/ENPP4/COL5A1/GAP43/WNT5A/BNIP3/CCN4/VWF/PDPN/FERMT2/PIK3CA/FBLN1/CLASP2/ITGA5/APOD/ILK/PROS1/DSG2/VKORC1/CEACAM1/EPB41L4B/VEGFB/NFE2L2/ANGPT2/ANGPTL2/DPYSL3/SRF/ITGAV/CRK/DSP/WNT4/TNFAIP3/F10/SERPIND1/PRRG4/TYRO3/PLA2G4A/MIR21/NOS3/SERPING1/SYT11/VASH1/SLC12A2/IL6ST/CHMP5/PDGFB/IL6/PROCR/CD40/TLR3/CAV1/C1QTNF1/PDGFA/LMAN1/SERPINE1/DSC2/TGFB1/SVEP1/ERBB3/MYL9/STXBP1/KDR/JMJD1C/MCAM/CTSG/MTR/FGL1/AXL/MMP2/NPR2/RTCA/CCN2/ENTPD1/ZFP36/DUOX1/THBS1/APOH/CDK1/ACTB/CDKN1A/THBD/ISL1/RHOC/FOXA2/FZD7/DGKA/STXBP3/MYH9/FLNA/EMILIN1/ANXA1/SPRR3",122
"GO:0051054","positive regulation of DNA metabolic process","76/2669","267/18842",0.284644194756554,2.00946643596965,6.74860596420402,7.93990640892236e-10,4.66866496844635e-07,4.06569642807517e-07,"GLI2/CDC7/RIF1/DPF2/DHX9/CCNA2/ATR/HSP90AA1/TOP2B/SMARCA2/CCT6A/BAX/SMARCA5/HNRNPD/PRKCQ/YEATS4/PELI1/ERCC1/MSH2/ACD/CACYBP/WRN/SHLD2/MRE11/BRCA1/BCL7C/UCHL5/MGMT/TNKS2/NEK2/ING3/NBN/KAT5/PCNA/RAD50/UBE2V2/DBF4/BRCC3/VPS72/SLF2/CASP3/PDGFB/IL6/HNRNPA2B1/TFRC/UBE2N/HNRNPA1/SMCHD1/TIGAR/USP1/TGFB1/RAD51AP1/E2F8/DNA2/CCT2/SMARCD3/POT1/SIRT1/BAZ1A/GNL3/PML/CDK1/ACTB/RFC5/CDKN1A/RFC4/ACTR2/FUS/AKT1/PDGFRB/ATM/WEE1/HGF/ATRX/KMT5B/TERF1",76
