"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030055","cell-substrate junction","116/2762","414/19979",0.280193236714976,2.02678518331952,8.45568779432954,1.76713965741914e-14,1.35186183792564e-11,1.35186183792564e-11,"SORBS3/EHD3/ARHGEF40/TNS2/CSPG4/PRUNE1/SVIL/CSRP1/ARHGAP26/ITGA8/ENG/ERBIN/YWHAB/HSPG2/ACTN1/PLAU/SORBS1/PTPN12/ACTC1/RPL31/PDLIM7/PDIA3/CD44/MSN/AHNAK/EFS/FHL3/KRAS/TGFB1I1/ADD1/HSP90B1/RRAS/IQGAP1/THY1/TLN1/ARPC3/FHL2/FERMT2/NFASC/CNN2/CLASP2/TWF1/ITGA5/HACD3/PDLIM2/RPL37A/CD46/ILK/FHL1/AKAP12/ITGA6/MPZL1/ACTR3/RHOB/TSPAN4/ADAM9/YWHAZ/CDC42EP1/ALCAM/CNN1/STARD8/ITGAV/LAMTOR3/ZYX/AVIL/PPP1CB/TEK/PARVB/ADGRE5/FES/ADAM10/PTPRC/MME/PROCR/LIMS2/PPP1R12A/CPNE3/CAV1/YES1/ASAP3/SORBS2/ITGA4/NCKAP1/MRC2/ANXA6/GSN/RALA/PTPN11/MCAM/RHOG/CDH13/ICAM1/FLNC/EZR/FLT1/CIB2/L1CAM/HSPA5/CHP1/SCARB2/PCBP2/ACTB/TNS1/ITGB8/LRP1/FZD2/ACTR2/MPRIP/PDGFRB/ARHGAP22/RDX/MYH9/FLNA/CORO2B/ANXA1/LIMS1",116
"GO:0005925","focal adhesion","113/2762","403/19979",0.280397022332506,2.02825927197,8.35222684118835,3.66392589806874e-14,1.40145165601129e-11,1.40145165601129e-11,"SORBS3/EHD3/TNS2/CSPG4/PRUNE1/SVIL/CSRP1/ARHGAP26/ITGA8/ENG/YWHAB/HSPG2/ACTN1/PLAU/SORBS1/PTPN12/ACTC1/RPL31/PDLIM7/PDIA3/CD44/MSN/AHNAK/EFS/FHL3/KRAS/TGFB1I1/ADD1/HSP90B1/RRAS/IQGAP1/THY1/TLN1/ARPC3/FHL2/FERMT2/NFASC/CNN2/CLASP2/TWF1/ITGA5/HACD3/PDLIM2/RPL37A/CD46/ILK/FHL1/AKAP12/ITGA6/MPZL1/ACTR3/RHOB/TSPAN4/ADAM9/YWHAZ/CDC42EP1/ALCAM/CNN1/STARD8/ITGAV/LAMTOR3/ZYX/AVIL/PPP1CB/TEK/PARVB/ADGRE5/FES/ADAM10/PTPRC/MME/PROCR/LIMS2/PPP1R12A/CPNE3/CAV1/YES1/ASAP3/SORBS2/ITGA4/NCKAP1/MRC2/ANXA6/GSN/RALA/PTPN11/MCAM/RHOG/CDH13/ICAM1/FLNC/EZR/FLT1/L1CAM/HSPA5/CHP1/SCARB2/PCBP2/ACTB/TNS1/ITGB8/LRP1/FZD2/ACTR2/MPRIP/PDGFRB/ARHGAP22/RDX/MYH9/FLNA/CORO2B/ANXA1/LIMS1",113
"GO:0016607","nuclear speck","106/2762","410/19979",0.258536585365854,1.87013122339768,7.13019597158057,5.21254381689038e-11,1.32919867330705e-08,1.32919867330705e-08,"PLAG1/PRPF40A/ETAA1/MEOX2/NRIP1/RBM39/SRSF1/BARD1/THOC7/SMC6/HDAC5/PPP1R16B/ZNF638/SRSF3/YTHDC1/WAC/CCNL1/PPIG/SUMO1/CD2BP2/HIF1A/SRSF6/ASCC3/SRSF11/RBM25/BCLAF1/SFPQ/BMP2K/PRPF18/PRP4K/NR4A1/SRSF10/SMURF2/MECOM/DDX17/TCERG1/THOC1/PPP4R3A/MBD4/EHMT2/THOC2/GRK5/NCAPG2/DDX5/PIAS2/GTF2H2/SRPK1/MSL1/WRN/SRSF5/TCF12/ARGLU1/GPATCH2/CTR9/LUC7L3/ZNF217/DDX46/EPAS1/SRP54/AK6/TRIM22/PNN/GTF2H2C/SNURF/PLCB1/MAGOH/WBP4/ZBTB18/CIRSR/APBB1/PNISR/VPS72/SMC5/API5/EAF2/ZC3H11A/METTL3/BCAS2/CSNK1A1/LMNA/POLI/RBBP6/SF3B1/GTF2H2C_2/PIAS1/MEF2C/PSME4/EIF4E/BNIP3L/ABITRAM/PQBP1/CDC5L/HSPB6/SCAPER/ZC3H14/IL15/POLDIP3/TARDBP/SNRPA1/SREK1/MTREX/SMC4/SRSF7/IQCH/DHX15/IL16",106
"GO:0140168","nuclear ribonucleoprotein granule","120/2762","486/19979",0.246913580246914,1.78605590867237,7.02653690471375,6.9585242668676e-11,1.33081776603843e-08,1.33081776603843e-08,"PLAG1/PRPF40A/ETAA1/MEOX2/NRIP1/RBM39/SRSF1/USPL1/DHX9/BARD1/THOC7/SMC6/HDAC5/PPP1R16B/ZNF638/SRSF3/YTHDC1/WAC/CCNL1/PPIG/SUMO1/CD2BP2/HIF1A/SRSF6/ASCC3/NUDT21/SRSF11/RBM25/BCLAF1/SFPQ/XPO1/BMP2K/PRPF18/PRP4K/NR4A1/SRSF10/SMURF2/MECOM/DDX17/TCERG1/THOC1/PPP4R3A/MBD4/EHMT2/THOC2/GRK5/NCAPG2/NPAT/DDX5/PIAS2/GTF2H2/SRPK1/MSL1/WRN/SRSF5/TCF12/ARGLU1/GPATCH2/CTR9/LUC7L3/ZNF217/DDX46/EPAS1/SRP54/AK6/TIA1/TRIM22/PNN/GTF2H2C/SNURF/PLCB1/MAGOH/WBP4/ZBTB18/NEAT1/CIRSR/APBB1/PNISR/VPS72/SMC5/FMR1/API5/VRK1/EAF2/ZC3H11A/METTL3/BCAS2/CSNK1A1/LMNA/HNRNPA2B1/POLI/RBBP6/SF3B1/GTF2H2C_2/PIAS1/MEF2C/PSME4/EIF4E/BNIP3L/ICE1/ABITRAM/PQBP1/CDC5L/HSPB6/SCAPER/ZC3H14/IL15/POLDIP3/ICE2/TARDBP/SNRPA1/SREK1/MTREX/HSPB7/SMC4/SRSF7/IQCH/DHX15/IL16/ARIH1",120
"GO:0005635","nuclear envelope","114/2762","462/19979",0.246753246753247,1.7848961321083,6.83653037026745,2.1754414709878e-10,2.91881960937403e-08,2.91881960937403e-08,"TNPO3/SLC30A1/RIF1/APP/NUP153/ERBIN/ATR/SUMO1/LMNB1/XPOT/PTGES/UBXN4/NUP107/ABL1/NUP42/RGPD6/WDFY3/BAX/ITPR1/MAD2L1/MX1/LTC4S/RGPD8/NUP58/NEMP1/XPO1/TMPO/BCHE/NR4A1/CLMN/LYPLA1/TMEM168/NUP54/BNIP3/CENPF/CCND1/RNF13/CETN3/MYO6/GRK5/MNS1/VRK2/NUP88/FXR1/SYNE3/AGPAT5/CACYBP/IPO7/NUCB2/DMPK/CPNE1/KPNA2/KPNA3/TNKS2/KPNA1/FANCL/AQP1/PTGER3/LRPPRC/PCNA/CDK4/RANBP2/PAK5/PLCB1/RGPD5/NUP62CL/TYRO3/PLA2G4A/NPIPB3/BANF1/FAM169A/CD2AP/TMEM109/CHMP5/ATP2A3/SNCA/ATP11B/AGFG1/LMNA/MATR3/IFFO1/GPER1/CLGN/TMEM176B/XPO7/RNF6/NUP50/BNIP3L/RANBP17/ALOX5AP/CBX3/KDR/OSBPL3/MAD1L1/CCND2/CLK1/TPR/NUP210/NAV3/SUN1/SIRT1/DCTN1/OSBPL8/DNAJB14/CSE1L/PML/SPAST/KPNB1/MX2/DES/DUSP2/NDC1/NUP160/NXT2",114
"GO:0140149","non-collagenous component of interstitial matrix","24/2762","44/19979",0.545454545454545,3.94555987097624,7.83420938192454,2.28927028186198e-10,2.91881960937403e-08,2.91881960937403e-08,"COL8A2/HSPG2/LTBP4/FBLN5/MFAP5/LOXL1/COL6A3/FBLN1/MFAP4/BGN/LTBP2/COL6A2/COL6A1/MFAP2/LTBP3/EFEMP2/COMP/LTBP1/THBS4/DCN/COL16A1/THBS2/THBS1/EMILIN1",24
"GO:0140151","solid phase of interstitial matrix","29/2762","64/19979",0.453125,3.27769166364953,7.3097725831768,1.0293378342729e-09,1.12491920459824e-07,1.12491920459824e-07,"COL8A2/HSPG2/LTBP4/FBLN5/MFAP5/LOXL1/COL5A1/COL6A3/FBLN1/MFAP4/BGN/LTBP2/COL6A2/COL14A1/COL6A1/MFAP2/LTBP3/EFEMP2/COMP/LTBP1/THBS4/COL10A1/DCN/COL16A1/THBS2/THBS1/COL1A2/COL1A1/EMILIN1",29
"GO:0031091","platelet alpha granule","35/2762","91/19979",0.384615384615385,2.78212555004735,6.82452672718516,4.43346593349818e-09,4.23950179890763e-07,4.23950179890763e-07,"APP/ACTN1/SELP/PHACTR2/VWF/TIMP1/ISLR/A2M/PROS1/VEGFD/VEGFB/APOOL/OLA1/LEFTY2/PCDH7/SERPING1/MAGED2/TGFB3/PDGFB/SNCA/SPARC/PDGFA/SERPINE1/TGFB1/STXBP1/IGF2/NHLRC2/THBS2/THBS1/CLU/PECAM1/GAS6/QSOX1/STXBP3/HGF",35
"GO:0071953","elastic fiber","20/2762","37/19979",0.540540540540541,3.91001428655303,7.09611637111533,9.04167865113087e-09,7.68542685346124e-07,7.68542685346124e-07,"COL8A2/HSPG2/LTBP4/FBLN5/MFAP5/LOXL1/COL6A3/FBLN1/MFAP4/BGN/LTBP2/COL6A2/COL6A1/MFAP2/LTBP3/EFEMP2/LTBP1/DCN/COL16A1/EMILIN1",20
"GO:0043292","contractile muscle fiber","67/2762","253/19979",0.264822134387352,1.91559790837252,5.8702235430676,6.65964507212067e-08,5.09462848017231e-06,5.09462848017231e-06,"SVIL/CSRP1/ACTN1/ACTC1/PDLIM7/LMOD1/DEK/AHNAK/ANK3/PYROXD1/FHL3/TPM1/MYOT/IDO1/FHL2/FERMT2/SYNM/ANK2/TWF1/FXR1/CACNA1C/PPP1R12B/NEBL/PDLIM2/OBSL1/BIN1/ILK/CAPZB/TMOD3/PDLIM5/TNNC2/CALM2/FKBP1A/SRI/PARVB/COL6A1/SYNPO/MYH11/KCNA5/PPP1R12A/CALM3/ACTA2/SORBS2/LMAN1/MYOM1/KCNJ8/LDB3/FHL5/KAT2B/MYL9/CASQ2/FHOD3/MMP2/ITGB1BP2/FLNC/FKRP/PECAM1/PDLIM3/DES/SCN3B/CRYAB/MYOZ3/MYL6B/FLNA/KLHL41/PDLIM4/TPM2",67
