"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","likely_gene_overlap_artifact"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","78/1448","233/9416",0.334763948497854,2.17689042752472,7.75428000468445,2.85804418604453e-12,1.00603155348767e-09,8.18041667332209e-10,"CSRP1/ITGA8/HSPG2/LMNB1/ACTC1/PDLIM7/LMOD1/ITGA7/ANK3/CAPZA1/FHL3/SGCG/TLN1/TPM1/COL5A1/MYOT/FHL2/COL6A3/FBLN1/SDC3/ANK2/ITGA5/SYNE3/NEBL/PDLIM2/FHL1/NID2/DSG2/CAPZB/ITGA6/TMOD3/PDLIM5/SPTAN1/TNNC2/BGN/ITGAV/COL6A2/ZYX/DSP/COL6A1/SNTA1/PKP2/MYH11/ATP1B2/LMNA/SGCA/COL4A2/COMP/MYOM1/ITGA4/LDB3/COL4A4/DSC2/COL4A1/ACTG2/THBS4/MYL9/DCN/FLNC/THBS2/SUN1/THBS1/CAPZA2/ACTB/ITGB8/COL1A2/DIAPH2/COL1A1/PDLIM3/ENO2/DES/DAAM1/MYOZ3/MYH9/ATP1A2/AMPD2/PDLIM4/TPM2",78,FALSE
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","97/1448","333/9416",0.291291291291291,1.89419806546878,7.08208224607971,6.39797085096347e-11,1.12604286976957e-08,9.15627331449433e-09,"PIK3R1/HLA-B/LAMA4/APC/HLA-E/CCNE2/ITGA8/CHUK/CCNA2/CREB5/LAMB2/ATR/FZD4/FAS/MAGI1/NOTCH3/DLG1/BAX/MX1/ITGA7/UBE3A/PATJ/RBL2/TCF7L1/ATP6V1C1/KRAS/ISG15/ATP6V1D/TUBG2/WNT5A/BAD/VWF/CCND1/COL6A3/PIK3CA/PRKCI/ITGA5/ATP6V1F/TBK1/RPS6KB1/NOTCH4/ITGA6/PPP2R5C/PPP2R5E/PPP2R3C/ITGAV/COL6A2/RB1/SOS2/WNT4/CDK4/TADA3/HDAC2/COL6A1/RELA/RELN/HEY2/CREB3/EIF2AK2/CASP3/WNT2B/ATP6AP1/FZD5/CSNK1A1/TLR3/WNT6/ATP6V1A/COL4A2/COMP/HES1/DVL3/ITGA4/RBL1/COL4A4/COL4A1/THBS4/CCND2/LLGL2/TNXB/TNFRSF1A/THBS2/CREB1/THBS1/ITGB8/CDKN1A/CCND3/COL1A2/FZD2/COL1A1/AKT1/MX2/PDGFRB/FZD7/ATM/SOS1/MFNG/FZD6",97,TRUE
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","67/1448","204/9416",0.32843137254902,2.13571119055357,6.99078272740759,2.59221931052697e-10,3.04153732435164e-08,2.47318710376439e-08,"PIK3R1/HBEGF/HSPG2/FZD4/FAS/PLAU/HIF1A/CD44/ROCK1/MSN/ITPR1/TIMP3/ANK3/KRAS/RRAS/IQGAP1/EIF4B/WNT5A/CCND1/PIK3CA/ANK2/HSPB2/ITGA5/DDX5/PPP1R12B/RPS6KB1/HCLS1/CAMK2G/MAPK12/ITGAV/SOS2/WNT4/PPP1CB/ARHGEF12/MIR21/ITPR2/CASP3/WNT2B/FZD5/PPP1R12A/WNT6/CAV1/TGFB1/ERBB3/GPC3/PTPN11/KDR/DCN/PDCD4/MMP2/IGF2/EZR/THBS1/ACTB/CDKN1A/COL1A2/FZD2/COL1A1/AKT1/ERBB4/FZD7/FGFR1/SOS1/RDX/HGF/FLNA/FZD6",67,FALSE
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","65/1448","203/9416",0.320197044334975,2.08216531039926,6.64447806369727,1.56969832792224e-09,1.38133452857158e-07,1.12321447272587e-07,"PIK3R1/LAMA4/ITGA8/ACTN1/LAMB2/MYLK/PGF/ROCK1/ITGA7/PIP5K1B/TLN1/BAD/VWF/CCND1/COL6A3/PIK3CA/ITGA5/PPP1R12B/ILK/VEGFD/ITGA6/VEGFB/ITGAV/COL6A2/ZYX/CRK/SOS2/PPP1CB/PAK5/FYN/PARVB/COL6A1/RELN/MAPK8/ARHGAP5/PDGFB/PPP1R12A/CAV1/COL4A2/COMP/PDGFA/ITGA4/COL4A4/COL4A1/THBS4/MYL9/KDR/CCND2/TNXB/THBS2/FLT1/THBS1/ACTB/ITGB8/XIAP/CCND3/COL1A2/BIRC3/COL1A1/AKT1/PDGFRB/BIRC2/SOS1/HGF/FLNA",65,FALSE
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","52/1448","154/9416",0.337662337662338,2.19573796369377,6.37769535641138,9.17661100150595e-09,6.46033414506019e-07,5.25313793312646e-07,"PIK3R1/LAMA4/ITGA8/ACTN1/C3/LAMB2/PGF/ITGA7/TLN1/VWF/CCND1/FERMT2/COL6A3/PIK3CA/ITGA5/ILK/VEGFD/ITGA6/VEGFB/ITGAV/COL6A2/PARVB/COL6A1/RELN/PDGFB/LIMS2/COL4A2/COMP/PDGFA/ITGA4/COL4A4/COL4A1/TGFB1/THBS4/KDR/CCND2/TNXB/ICAM1/THBS2/FLT1/THBS1/ACTB/ICAM2/ITGB8/CCND3/COL1A2/COL1A1/AKT1/PDGFRB/HGF/FLNA/LIMS1",52,FALSE
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","65/1448","224/9416",0.290178571428571,1.88696231254933,5.7272210887574,1.13768582874243e-07,6.67442352862227e-06,5.42722197222056e-06,"PIK3R1/EGR2/HLA-B/ADCY3/HLA-E/CCNE2/PPP3R1/CHUK/CCNA2/CREB5/ATR/ADCY7/HLA-DRB1/DLG1/BAX/MAD2L1/XPO1/KRAS/MAP3K1/IL1R1/GPS2/TLN1/HLA-DRB3/CCND1/MSX1/PIK3CA/HLA-DRB5/HLA-DRA/FOS/E2F3/SRF/HLA-DPB1/KAT5/RB1/CDK4/CRTC3/RELA/HLA-DRB4/EGR1/MAPK8/HLA-DQB1/TGFB3/CREB3/IL6/CD40/TGFB1/KAT2B/BUB3/MAD1L1/CCND2/STAT5B/ATF2/IL15/NFATC1/TNFRSF1A/ICAM1/CREB1/ADCY9/ZFP36/HLA-DPA1/CDKN1A/XIAP/CCND3/AKT1/ATM",65,TRUE
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","50/1448","158/9416",0.316455696202532,2.05783621232254,5.71620987090612,1.83752934899665e-07,9.24014758352602e-06,7.513507612578e-06,"CDC7/CCNE2/YWHAB/CCNA2/FBXO5/ATR/E2F5/ABL1/STAG2/ORC6/TRIP13/MAD2L1/RBL2/SMC3/CCND1/ORC3/CDC14A/GADD45G/GADD45B/PPP2R5C/E2F3/YWHAZ/PPP2R5E/PCNA/RB1/NIPBL/CDK4/HDAC2/DBF4/ORC2/TGFB3/CDKN1C/CDC14B/PDS5A/TTK/RBL1/ORC4/TGFB1/BUB3/MAD1L1/CCND2/CDK7/CDK1/WAPL/CDKN1A/CCND3/RAD21/ATM/WEE1/ATRX",50,FALSE
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","45/1448","142/9416",0.316901408450704,2.06073457318497,5.4292161353622,7.16761299188535e-07,3.15374971642955e-05,2.56443117259356e-05,"PIK3R1/BMP4/CHUK/MAPK7/PLAT/SUMO1/CDH5/HSP90AA1/IL1A/TXN/HSP90B1/IL1R1/PIK3CA/MAP3K7/GSTM2/GSTM3/GSTM5/NFE2L2/FOS/CALM2/MAPK12/GSTM1/ITGAV/GSTM4/NCF1/NOS3/RELA/MAPK8/PDGFB/CAV1/CALM3/PDGFA/MAP2K6/MEF2C/KLF2/KDR/BMPR1A/MMP2/TNFRSF1A/ICAM1/ACTB/DUSP1/THBD/PECAM1/AKT1",45,FALSE
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","48/1448","160/9416",0.3,1.95082872928177,5.17095066426204,1.83079425310873e-06,7.16043974549193e-05,5.8224198315921e-05,"HLA-B/HLA-E/ITGA8/CD34/CDH5/NRXN3/JAM3/HLA-DRB1/SELP/CNTNAP1/OCLN/NCAM1/CLDN8/HLA-DRB3/CLDN5/NRXN2/JAM2/SDC3/NFASC/CD22/CDH3/CLDN7/HLA-DRB5/SELL/HLA-DRA/ITGA6/ALCAM/SLITRK3/ITGAV/HLA-DPB1/CADM3/PTPRF/SIGLEC1/MPZ/HLA-DRB4/HLA-DQB1/PTPRC/CD40/ITGA4/CXADR/CD58/ICAM1/HLA-DPA1/L1CAM/NLGN4X/ICAM2/ITGB8/PECAM1",48,FALSE
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","34/1448","101/9416",0.336633663366337,2.18904873912806,5.12139996763587,3.62297657925017e-06,0.000120061866650066,9.76267685013929e-05,"PIK3R1/AGTR1/IL1A/BAX/KRAS/CCND1/PIK3CA/VEGFD/VEGFB/MAPK12/CDK4/PLCB1/NOS3/RELA/EGR1/MAPK8/TGFB3/CASP3/AGT/IL6/PLCB4/COL4A2/SERPINE1/COL4A4/COL4A1/TGFB1/STAT5B/MMP2/NFATC1/ICAM1/THBD/COL1A2/COL1A1/AKT1",34,FALSE
