"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006913","nucleocytoplasmic transport","57/1507","299/18842",0.190635451505017,2.3835123936679,7.11009374605765,5.68026061655563e-10,1.66999662126735e-06,1.66999662126735e-06,"KPNA4/PIK3R1/NUP54/YTHDC1/AGFG1/NXT2/FLNA/MX2/AKT1/UBR5/HSP90AA1/RGPD6/TGFB1/RANBP1/SMG1/ZC3H11C/XPO1/JAK2/TNPO1/FMR1/IPO7/SSB/TARDBP/MALT1/NUP58/CETN3/HNRNPA1/KPNA1/SMG6/NUP62CL/MAGOH/XPO7/UFM1/RGPD5/RANBP2/THOC2/NEAT1/CAMK1/CALR/UPF2/RSRC1/NUP107/WASHC4/CSE1L/ZC3H11A/PRP4K/CD36/APPL1/NEMF/EIF4E/FRAT1/ATF2/TPR/ECT2/THOC1/RGPD8/SETD2",57
"GO:0051169","nuclear transport","57/1507","299/18842",0.190635451505017,2.3835123936679,7.11009374605765,5.68026061655563e-10,1.66999662126735e-06,1.66999662126735e-06,"KPNA4/PIK3R1/NUP54/YTHDC1/AGFG1/NXT2/FLNA/MX2/AKT1/UBR5/HSP90AA1/RGPD6/TGFB1/RANBP1/SMG1/ZC3H11C/XPO1/JAK2/TNPO1/FMR1/IPO7/SSB/TARDBP/MALT1/NUP58/CETN3/HNRNPA1/KPNA1/SMG6/NUP62CL/MAGOH/XPO7/UFM1/RGPD5/RANBP2/THOC2/NEAT1/CAMK1/CALR/UPF2/RSRC1/NUP107/WASHC4/CSE1L/ZC3H11A/PRP4K/CD36/APPL1/NEMF/EIF4E/FRAT1/ATF2/TPR/ECT2/THOC1/RGPD8/SETD2",57
"GO:0010638","positive regulation of organelle organization","76/1507","466/18842",0.163090128755365,2.03911360717225,6.69695186070164,1.67423799628025e-09,3.28150647270929e-06,3.28150647270929e-06,"SMC2/CCP110/ATG5/ROCK2/MACROH2A1/CCDC88A/SFRP1/IFT88/BAX/ATR/ANXA1/FLNA/ATRX/KATNBL1/PHIP/RAD21/RHOC/SPAST/HSP90AA1/OCLN/TNKS2/TOGARAM1/UCHL5/FSCN1/SYT11/PLK4/PDGFRB/BAD/SWAP70/PLCB1/SMC5/TGFB3/KDR/PINK1/ATM/IGF2/MNS1/F2RL1/TPM1/CCDC15/HNRNPD/PLD3/CDC42EP1/MAD1L1/HNRNPA1/BAIAP2L2/SMC4/CPAP/USP33/NBN/NCK1/C2CD5/TP53/IL1A/SLF2/MRE11/RAB3GAP2/NCKAP1/BIN1/CEP135/AKAP9/NEK7/ABL1/NPR2/PDE4DIP/RAD50/RUVBL1/ADD3/DCN/FHOD3/TPR/NES/DCTN1/CLIP1/RB1/SNX4",76
"GO:0044089","positive regulation of cellular component biogenesis","73/1507","475/18842",0.153684210526316,1.92151154262564,5.99756756565381,4.48820155530622e-08,6.59765628630014e-05,6.59765628630014e-05,"PIK3R1/CCP110/ATG5/ROCK2/CLSTN1/RHOQ/CCDC88A/FNBP1L/SFRP1/IFT88/BAX/ATR/EMILIN1/FLNA/USP16/RHOC/EPHB2/HSP90AA1/TGFB1/OCLN/TOGARAM1/PALM/PSMC6/FSCN1/PLK4/SWAP70/THY1/TGFB3/KDR/FMR1/PINK1/ATM/MNS1/F2RL1/TPM1/CCDC15/SRPX2/CDC42EP1/CXCL13/BAIAP2L2/CPAP/DPYSL3/USP33/NCK1/TP53/PIK3CA/ANKRD28/TFRC/BRCC3/MAPK8/ROCK1/TEK/SLF2/APOE/RAB3GAP2/NCKAP1/CD36/BIN1/CEP135/AKAP9/RAPGEF2/NEK7/ABL1/PDE4DIP/FHOD3/PTPN22/TPR/CAND1/DCTN1/CLIP1/ISG15/SNX4/APC",73
"GO:0042060","wound healing","63/1507","394/18842",0.15989847715736,1.99920843171797,5.90984695148951,8.77096788594215e-08,0.00010314658233868,0.00010314658233868,"ENG/CD34/PLAU/APOH/ANXA1/EMILIN1/FLNA/STXBP3/DGKA/TMX1/RHOC/EPHB2/TGFB1/OCLN/AJAP1/SYT11/ENPP4/COL5A1/CLASP2/CCN4/FIBP/KDR/SMPD1/JAK2/THBS1/JMJD1C/FBLN1/F2RL1/TPM1/HBEGF/EPB41L4B/VKORC1/C1QTNF1/ARFGEF1/PDCD10/CD44/PRRG4/HTR2A/ITGAV/PIK3CA/SAA1/PLA2G4A/FGL1/APOE/DST/ILK/CD36/ITGA5/ACTB/LMAN1/AXL/NPR2/TYRO3/DSC2/SCARB1/SVEP1/MYL9/MCAM/IL6ST/ENTPD1/PLAT/TSKU/PDPN",63
"GO:0051168","nuclear export","36/1507","176/18842",0.204545454545455,2.55742896784702,6.12048206045017,1.35271799423701e-07,0.000132566363435227,0.000132566363435227,"YTHDC1/AGFG1/NXT2/RGPD6/TGFB1/RANBP1/SMG1/ZC3H11C/XPO1/FMR1/SSB/MALT1/CETN3/HNRNPA1/SMG6/MAGOH/XPO7/RGPD5/RANBP2/THOC2/NEAT1/CAMK1/CALR/UPF2/NUP107/WASHC4/CSE1L/ZC3H11A/PRP4K/NEMF/EIF4E/FRAT1/TPR/THOC1/RGPD8/SETD2",36
"GO:0007015","actin filament organization","68/1507","448/18842",0.151785714285714,1.89777467058489,5.67041627174028,2.09181724724539e-07,0.000175712648768613,0.000175712648768613,"PAWR/PIK3R1/ROCK2/RHOQ/CXCL12/CCDC88A/ACTN1/SFRP1/ALMS1/TPM2/LIMS1/WDR1/RASA1/CORO2B/FLNA/COTL1/PLS1/IQGAP1/RHOC/RHOF/SHTN1/IQGAP2/ARPC4/FSCN1/CLASP2/PAK3/SWAP70/TGFB3/JAK2/KANK2/PPP1R9A/ARFIP1/DLG1/F2RL1/TPM1/CNN2/DBN1/ARPC3/CDC42EP1/MYO6/BAIAP2L2/DPYSL3/MYO5C/ARFGEF1/ZYX/NCK1/PIK3CA/ROCK1/MAGEL2/CD2AP/WASHC4/TWF1/ILK/NCKAP1/RNH1/RDX/BIN1/ARHGAP12/MARCKSL1/ABL1/MYL9/GMFB/ADD3/FHOD3/RHOB/RUFY3/DIAPH2/MARCKS",68
"GO:0072657","protein localization to membrane","65/1507","432/18842",0.150462962962963,1.88123632922903,5.46328743008578,5.31579351033604e-07,0.000390710823009699,0.000390710823009699,"PIK3R1/ROCK2/CLSTN1/RHOQ/BBIP1/NUP54/CCDC88A/TM9SF3/FLNA/WDR19/ERBB4/PLS1/AKT1/GOLGA4/EPHB2/LYPLA1/TGFB1/KIF5B/PALM/EHD2/ADAM10/RAMP3/FYN/CDK5/THY1/KCNB1/AP2B1/SACM1L/VAMP4/DLG1/EPB41L3/ACSL3/RFTN1/NSG1/PREPL/NRXN2/ATP6AP1/AP2M1/C2CD5/DENND4C/PIK3CA/SLC30A1/EHD3/ROCK1/ANK3/OGT/PEX3/APOE/SCP2/LZTFL1/CLIP3/PRKCI/APPL1/RDX/ACTB/LRP1/BLZF1/RAB11FIP2/CDH2/RAPGEF2/RAB31/CNIH3/TRIP11/IFT27/CACNB3",65
"GO:1990778","protein localization to cell periphery","55/1507","348/18842",0.158045977011494,1.97604664820874,5.41865433687213,8.34778416529048e-07,0.000545388565465644,0.000545388565465644,"PIK3R1/ROCK2/CLSTN1/RHOQ/BBIP1/CCDC88A/FLNA/WDR19/ERBB4/PLS1/AKT1/GOLGA4/EPHB2/LYPLA1/TGFB1/KIF5B/PALM/EHD2/ADAM10/RAMP3/CDK5/KCNB1/SACM1L/VAMP4/DLG1/EPB41L3/PIAS1/ACSL3/NSG1/PREPL/ATP6AP1/AP2M1/C2CD5/DENND4C/EHD3/ROCK1/ANK3/OGT/SCP2/LZTFL1/ILK/CLIP3/PRKCI/APPL1/RDX/ACTB/LRP1/BLZF1/RAB11FIP2/RAPGEF2/RAB31/CNIH3/TRIP11/IFT27/CACNB3",55
"GO:1903829","positive regulation of protein localization","66/1507","457/18842",0.144420131291028,1.80568288904151,5.14087567460518,1.89236954030251e-06,0.00111271328969788,0.00111271328969788,"PIK3R1/ROCK2/KIF20B/CEP290/PCM1/CCDC88A/FLNA/MYRIP/PLS1/AKT1/UBR5/MAP1A/EPHB2/HSP90AA1/TGFB1/KIF5B/DSG2/NPEPPS/SYT11/RAMP3/FYN/BAP1/BAD/LARP7/TGFB3/JAK2/AP2B1/PINK1/IPO7/DLG1/F2RL1/TARDBP/PIAS1/ACSL3/SOX4/PDCD10/MSN/BMP6/EXPH5/MYO18A/PIK3CA/TFRC/ZFAND1/CAMK1/MAPK8/IL1A/CD2AP/APOE/ACSL4/CLIP3/PRP4K/PRKCI/FZD5/RDX/LRP1/APP/RAB11FIP2/CDH2/UBE2L3/DSC2/ADAM9/SEC24D/TPR/ECT2/RUFY3/APC",66
