"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071953","elastic fiber","16/1563","37/19979",0.432432432432432,5.52755442582698,8.03041567418271,4.83206571787514e-09,3.69653027417448e-06,3.69653027417448e-06,"LTBP4/EMILIN1/MFAP2/LOXL1/COL6A3/FBLN1/LTBP3/EFEMP2/LTBP2/COL6A1/COL6A2/BGN/FBLN5/LTBP1/DCN/MFAP4",16
"GO:0140149","non-collagenous component of interstitial matrix","17/1563","44/19979",0.386363636363636,4.93868144012098,7.61950774911574,1.26190238823216e-08,4.82677663498802e-06,4.82677663498802e-06,"LTBP4/EMILIN1/MFAP2/LOXL1/THBS1/COL6A3/FBLN1/LTBP3/EFEMP2/LTBP2/COL6A1/COL6A2/BGN/FBLN5/LTBP1/DCN/MFAP4",17
"GO:0030055","cell-substrate junction","66/1563","414/19979",0.159420289855072,2.037785010246,6.21620714462141,2.15143569646e-08,5.486161025973e-06,5.486161025973e-06,"ARHGEF40/PRUNE1/ARHGAP26/ENG/ERBIN/ITGBL1/ACTN1/PLAU/LIMS1/ANXA1/CORO2B/FLNA/RPL22/IQGAP1/CPNE3/HYOU1/FHL3/PDGFRB/ADAM10/CLASP2/PTPRC/THY1/RPL37A/KRAS/FZD2/CNN2/ARPC3/TGFB1I1/YES1/SORBS2/CDC42EP1/PPP1CB/PPP1R12A/ITGB8/MSN/ZYX/CD44/ITGAV/PDIA3/CALR/EHD3/TEK/TWF1/DST/ILK/NCKAP1/ITGA5/RDX/ACTB/LRP1/PDLIM7/RPL31/ALCAM/MRC2/CDH2/ANXA6/ADAM9/MCAM/RHOB/PTPN12/CIB2/PTPN11/CD46/TNS1/MARCKS/PPFIBP1",66
"GO:0005635","nuclear envelope","71/1563","462/19979",0.153679653679654,1.96440550279322,6.1098700969791,2.93808181792071e-08,5.61908147677336e-06,5.61908147677336e-06,"KPNA4/NUP54/ERBIN/BAX/ATR/CBX3/AGFG1/NXT2/CLGN/DUSP2/MX2/SPAST/LYPLA1/RGPD6/TNKS2/TMEM168/RANBP1/FAM169A/XPO1/PLCB1/KDR/IPO7/OSBPL3/MNS1/OSBPL8/NUCB2/CLMN/LRPPRC/NUP58/MAD1L1/MYO6/CETN3/KPNA1/EIF5A/NUP62CL/FXR1/CPNE1/NPIPB3/CDK4/DPY19L2P2/XPO7/RGPD5/RANBP2/PLA2G4A/CALR/SLC30A1/NUP107/UBXN4/CD2AP/LMNB1/FANCL/DST/CSE1L/ATP11B/MX1/CLK1/GRK5/RNF6/APP/CCND1/BNIP3L/ABL1/TYRO3/RNF13/CCND2/MATR3/TPR/RIF1/DCTN1/DNAJB14/RGPD8",71
"GO:0005925","focal adhesion","63/1563","403/19979",0.156327543424318,1.99825207298429,5.89778050926142,9.3697968711385e-08,1.43357892128419e-05,1.43357892128419e-05,"PRUNE1/ARHGAP26/ENG/ITGBL1/ACTN1/PLAU/LIMS1/ANXA1/CORO2B/FLNA/RPL22/IQGAP1/CPNE3/HYOU1/FHL3/PDGFRB/ADAM10/CLASP2/PTPRC/THY1/RPL37A/KRAS/FZD2/CNN2/ARPC3/TGFB1I1/YES1/SORBS2/CDC42EP1/PPP1CB/PPP1R12A/ITGB8/MSN/ZYX/CD44/ITGAV/PDIA3/CALR/EHD3/TEK/TWF1/DST/ILK/NCKAP1/ITGA5/RDX/ACTB/LRP1/PDLIM7/RPL31/ALCAM/MRC2/CDH2/ANXA6/ADAM9/MCAM/RHOB/PTPN12/PTPN11/CD46/TNS1/MARCKS/PPFIBP1",63
"GO:0005938","cell cortex","53/1563","323/19979",0.164086687306502,2.09743309385579,5.7928139750601,2.03949924871623e-07,2.13471855313445e-05,2.13471855313445e-05,"FRYL/CLIP2/ACTN1/FNBP1L/WDR1/FLNA/EXOC3/COTL1/MYRIP/PLS1/IQGAP1/AKT1/IQGAP2/FSCN1/ACTR1A/CLASP2/AKAP13/OSBPL8/EXOC1/DBN1/SEPTIN11/ITPR2/SPINK5/TBCB/MYO6/COBLL1/LANCL2/C2CD5/RIMS3/ASTN2/DST/ILK/CLIP3/PCLO/RDX/ACTB/TRAK1/CDH2/GYPC/GAD1/PDE4DIP/MYL9/GMFB/ARHGAP32/ADD3/BFSP1/CIB2/DCTN1/CLIP1/ECT2/CTSZ/MARCKS/PPFIBP1",53
"GO:0031252","cell leading edge","66/1563","439/19979",0.150341685649203,1.92173802788575,5.68899204014481,2.06633860235151e-07,2.13471855313445e-05,2.13471855313445e-05,"CLCN3/CCDC88A/ACTN1/PDLIM4/RASA1/KLHL41/IQGAP1/AKT1/CDC42BPA/OCLN/SNX2/SHTN1/FAM89B/IQGAP2/FSCN1/CLASP2/FRMD4B/CDK5/SWAP70/THY1/KCNB1/KLHL2/SH3YL1/TPM1/SSX2IP/EPB41L3/ARPC3/SORBS2/PLEKHA1/MYO6/DPYSL3/SNX1/ACTA2/ACAP2/PLEKHO1/RIGI/CD44/C2CD5/ITGAV/PIK3CA/ANKRD28/PKN2/ROCK1/CD2AP/TWF1/DST/ILK/NCKAP1/PRKCI/RNH1/ITGA5/APPL1/RDX/ACTB/APP/PDLIM7/CDH2/ABL1/PTPN13/SLK/DCTN1/CLIP1/RUFY3/KIF18A/APC/PDPN",66
"GO:0140151","solid phase of interstitial matrix","19/1563","64/19979",0.296875,3.79479566538708,6.5239065712982,2.4270650665077e-07,2.13471855313445e-05,2.13471855313445e-05,"LTBP4/EMILIN1/MFAP2/COL1A1/LOXL1/COL5A1/THBS1/COL6A3/FBLN1/LTBP3/EFEMP2/LTBP2/COL6A1/COL6A2/BGN/FBLN5/LTBP1/DCN/MFAP4",19
"GO:0036064","ciliary basal body","42/1563","232/19979",0.181034482758621,2.31406777417433,5.86501374890505,2.51143359192289e-07,2.13471855313445e-05,2.13471855313445e-05,"CEP170/KIF20B/BBIP1/PCM1/IFT81/CCDC88A/IFT88/ALMS1/DYNC2LI1/GLI2/CYLD/AKT1/GNAI3/TOGARAM1/CEP43/BBS7/IFT74/CEP350/CCDC170/SSX2IP/JADE1/HAUS3/CETN3/CEP192/OFD1/CPAP/EFHC2/BBOF1/CSNK1A1/DAAM1/CDC14A/RPGR/AGBL2/CEP63/AHI1/MPHOSPH9/RUVBL1/RPGRIP1L/CEP152/TTLL7/DCTN1/PJA2",42
"GO:0016607","nuclear speck","62/1563","410/19979",0.151219512195122,1.93295881903157,5.5606802925575,3.9121286925959e-07,2.99277844983587e-05,2.99277844983587e-05,"NRIP1/PNN/CDC5L/NR3C1/SFPQ/SRSF10/SMC6/ZNF638/PLAG1/YTHDC1/CCNL1/PPIG/VPS72/ARGLU1/NCAPG2/TCERG1/POLI/WAC/BMP2K/PLCB1/FIBP/SMC5/WBP4/SRSF5/TCF12/RBBP6/TARDBP/PIAS1/JADE1/PNISR/LUC7L3/SREK1/PRPF40A/RBM25/MTREX/SMC4/SAP18/MAGOH/CIRSR/RBM39/MECOM/THOC2/EHMT2/ETAA1/RSRC1/CSNK1A1/ZC3H11A/EAF2/MSL1/PRP4K/GRK5/SF3B1/SRSF11/EIF4E/BNIP3L/RUVBL1/U2AF1/SCAPER/GPATCH2/THOC1/SRSF7/BCLAF1",62
"GO:0140168","nuclear ribonucleoprotein granule","70/1563","486/19979",0.1440329218107,1.84109644584515,5.46867899204246,4.67940390971451e-07,3.25431271902872e-05,3.25431271902872e-05,"NRIP1/PNN/CDC5L/NR3C1/SFPQ/SRSF10/SMC6/ZNF638/PLAG1/YTHDC1/CCNL1/PPIG/VPS72/ARIH1/ARGLU1/NCAPG2/TCERG1/POLI/XPO1/WAC/BMP2K/PLCB1/FIBP/SMC5/WBP4/FMR1/SRSF5/TCF12/RBBP6/TIA1/TARDBP/PIAS1/JADE1/PNISR/LUC7L3/SREK1/PRPF40A/RBM25/MTREX/SMC4/NPAT/SAP18/MAGOH/CIRSR/RBM39/MECOM/THOC2/EHMT2/NEAT1/ETAA1/RSRC1/CSNK1A1/ICE2/ZC3H11A/EAF2/MSL1/PRP4K/GRK5/SF3B1/SRSF11/EIF4E/BNIP3L/RUVBL1/U2AF1/SCAPER/USPL1/GPATCH2/THOC1/SRSF7/BCLAF1",70
"GO:0001527","microfibril","12/1563","29/19979",0.413793103448276,5.28929776954133,6.73397633561366,7.43836696756099e-07,4.74195894182013e-05,4.74195894182013e-05,"LTBP4/EMILIN1/MFAP2/LOXL1/COL6A3/LTBP3/LTBP2/COL6A1/COL6A2/LTBP1/DCN/MFAP4",12
"GO:0005604","basement membrane","24/1563","103/19979",0.233009708737864,2.9784395207126,5.86455059427988,9.85018555280022e-07,5.79645534453244e-05,5.79645534453244e-05,"LAMA4/P3H2/PXDN/ERBIN/SPARC/LAMB2/COL4A1/TIMP1/LOXL1/COL5A1/DLG1/FBLN1/EFEMP2/COL6A1/ACTA2/LOXL2/MMRN2/NID2/DST/COL15A1/COL4A2/COL13A1/SERPINF1/ENTPD1",24
"GO:0005874","microtubule","68/1563","493/19979",0.137931034482759,1.76309925651378,4.99805442805471,3.21288844965507e-06,0.000175561404570438,0.000175561404570438,"CEP170/ARFGEF2/HOOK1/KIF20B/CLIP2/DYNC2LI1/TUBD1/MX2/IQGAP1/CYLD/DNM3/SPAST/MAP1A/KIF5B/TOGARAM1/SHTN1/FEZ1/IQGAP2/SERP1/DNAH7/KIFC1/APPBP2/TUBGCP3/MTUS1/CLASP2/CDK5/HAUS7/CSPP1/DLG1/MNS1/ZWILCH/KIF3C/DYNC2H1/CENPE/DNAI2/HAUS3/HAUS2/LRPPRC/TBCB/TUBB6/MAP9/CPAP/EFHC2/CEP57/CEP162/SAA1/CDK2AP2/DNM1/SAXO6/DST/CLIP3/MX1/KIF2A/NEK7/KIF3A/BBLN/PDE4DIP/OPA1/TUBB2B/TTLL7/DCTN1/CLIP1/SYBU/SPAG8/KIF18A/PBXIP1/APC/EFHC1",68
