"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","likely_gene_overlap_artifact"
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","41/743","204/9416",0.200980392156863,2.54701396036207,6.53811037161372,1.70898433752804e-08,6.0156248680987e-06,6.0156248680987e-06,"PIK3R1/ROCK2/PLAU/FZD6/FLNA/ERBB4/IQGAP1/AKT1/COL1A1/TGFB1/WNT6/KDR/THBS1/IGF2/SOS2/PDCD4/HBEGF/KRAS/FZD2/HGF/ITPR2/PPP1CB/PPP1R12A/MSN/CD44/TP53/ITGAV/PIK3CA/ROCK1/MMP2/ANK3/ITGA5/FZD5/RDX/ACTB/CCND1/EIF4B/DCN/SDC2/SOS1/PTPN11",41,FALSE
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","39/743","203/9416",0.192118226600985,2.43470420144667,6.04825021226023,1.36350259650562e-07,2.39976456984988e-05,2.39976456984988e-05,"PIK3R1/LAMA4/ROCK2/ACTN1/FLNA/BIRC2/LAMB2/AKT1/COL1A1/BIRC3/COL4A1/PDGFRB/FYN/PAK3/BAD/KDR/THBS1/COL6A3/SOS2/COL6A1/HGF/PPP1CB/PPP1R12A/COL6A2/ITGB8/ZYX/ITGAV/PIK3CA/MAPK8/ROCK1/ARHGAP5/ILK/COL4A2/ITGA5/ACTB/CCND1/MYL9/CCND2/SOS1",39,FALSE
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","52/743","333/9416",0.156156156156156,1.97895877034504,5.32343256573835,1.23687164971955e-06,0.000145126273567094,0.000145126273567094,"PIK3R1/LAMA4/HLA-B/PATJ/CREB5/BAX/ATR/FZD6/LAMB2/MX2/AKT1/COL1A1/TCF7L1/COL4A1/WNT6/PDGFRB/BAD/ATM/THBS1/COL6A3/DLG1/SOS2/RBL2/KRAS/FZD2/COL6A1/COL6A2/ITGB8/ATP6AP1/CDK4/TP53/ITGAV/RBL1/PIK3CA/CSNK1A1/NOTCH3/MAGI1/ATP6V1F/TBK1/MX1/DVL3/PRKCI/COL4A2/ITGA5/FZD5/HES1/CCND1/CCND2/SOS1/RB1/ISG15/APC",52,TRUE
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","32/743","170/9416",0.188235294117647,2.38549600190009,5.33547008064122,2.88803835600524e-06,0.000254147375328461,0.000254147375328461,"PIK3R1/SMARCA2/BAX/FZD6/SMARCA4/AKT1/TGFB1/TCF7L1/WNT6/BAD/TGFB3/IGF2/SOS2/KRAS/FZD2/GSTM3/HGF/CDK4/TP53/GSTM1/PIK3CA/CSNK1A1/DVL3/GADD45G/FZD5/ACTB/CCND1/FRAT1/SMARCD3/SOS1/RB1/APC",32,FALSE
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","19/743","77/9416",0.246753246753247,3.12709094404922,5.48530940369321,5.63232476602193e-06,0.000396515663527944,0.000396515663527944,"PIK3R1/BAX/AKT1/TGFB1/BAD/TGFB3/SOS2/KRAS/CDK4/MECOM/TP53/PIK3CA/GADD45G/BCR/CCND1/ABL1/SOS1/PTPN11/RB1",19,FALSE
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","57/743","404/9416",0.141089108910891,1.78801487147369,4.73842924981823,9.89701319014986e-06,0.000580624773822125,0.000580624773822125,"PCDHGA9/PCDHGA7/ROCK2/PCDHGA6/ERBIN/ACTN1/PCDH12/FZD6/PCDHGA3/PCDHGA2/DCHS1/DSG2/ARPC4/TCF7L1/WNT6/PCDHGB6/TEAD4/MAP2K3/MOB1A/PDGFRB/ADAM10/PCDHGA5/PCDHGB7/PCDHGB4/PCDHGB5/KDR/TEAD3/PCDHGA8/PCDHGA11/KRAS/FZD2/ARPC3/PCDHGC3/PCDHGA10/PPP1CB/PCDHGB1/PCDHGB3/PCDHGC4/MAPK8/PCDHGA12/CSNK1A1/ROCK1/PCDHGC5/DAAM1/NCKAP1/DVL3/FZD5/ACTB/PCDHGB2/CDH2/DSC2/CDH11/CIB2/PCDHGA4/TEAD1/PCDHGA1/APC",57,FALSE
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","27/743","154/9416",0.175324675324675,2.22188040761392,4.4746242203701,6.31133006803256e-05,0.00317369740563923,0.00317369740563923,"PIK3R1/LAMA4/ACTN1/LIMS1/FLNA/LAMB2/AKT1/COL1A1/TGFB1/COL4A1/PDGFRB/KDR/THBS1/COL6A3/COL6A1/HGF/COL6A2/ITGB8/ITGAV/PIK3CA/ILK/COL4A2/ITGA5/ACTB/CCND1/ICAM2/CCND2",27,FALSE
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","37/743","248/9416",0.149193548387097,1.89072200755438,4.16054876598648,0.000115179992017643,0.00479104994301569,0.00479104994301568,"KPNA4/ROCK2/BAX/FLNA/NAIP/DYNC2LI1/BIRC2/AKT1/HSP90AA1/BIRC3/KIF5B/ARPC4/TCF7L1/MAP2K6/ACTR1A/MAP2K3/PTPRC/PAK3/GCC2/ARPC3/DYNC2H1/MYO6/TUBB6/KPNA1/CYTH2/TLR5/PIK3CA/MAPK8/CSE1L/NCKAP1/ACTB/MYL9/PIK3C2A/RHOB/CASP4/TUBB2B/DCTN1",37,TRUE
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","18/743","87/9416",0.206896551724138,2.62198914001949,4.44846233449419,0.000122498436043015,0.00479104994301569,0.00479104994301568,"PIK3R1/BAX/AKT1/TGFB1/TCF7L1/BAD/TGFB3/SOS2/KRAS/TP53/PIK3CA/MAPK8/GADD45G/APPL1/CCND1/MSH2/SOS1/APC",18,FALSE
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","14/743","59/9416",0.23728813559322,3.007140087141,4.52642440624895,0.000150028180322214,0.00520913054237399,0.00520913054237399,"PIK3R1/BAX/AKT1/TCF7L1/BAD/SOS2/KRAS/TP53/PIK3CA/ILK/GADD45G/CCND1/SOS1/APC",14,FALSE
