"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007507","heart development","79/1193","438/18842",0.180365296803653,2.848652910624,10.177672383002,1.66573040498728e-17,9.79449478132522e-14,9.79449478132522e-14,"TGFBR3/ENG/CITED2/CCNB1/CPE/ASCL1/EDNRA/TGFBR2/PDLIM1/RUNX1/CRIPTO3/GATA6/OBSL1/HEY2/TBX3/MYH11/POU6F1/ADAMTS5/PDE2A/SOX9/VEGFA/TRAF3IP2/ANK2/SLIT3/FHL2/PDLIM5/SEMA3C/HEY1/ADAMTS9/IGF1/MEIS1/KAT2B/CRIP1/MSX2/STRA6/STIL/OLFM1/FLRT3/CXADR/ERBB3/MSX1/MICAL2/SGCD/PDGFRA/NRP2/FN1/CDK1/TNNC1/IHH/RGS2/DSP/WNK1/LDB3/VCAM1/PCSK5/BMP6/CLDN5/GPC3/HOPX/ZFPM2/MEF2C/FGFR2/INSR/SOX17/GATA4/FZD7/PAX8/HEG1/TPM1/PDLIM3/RYR2/CDKN1A/PCNA/FHOD3/CACNA1G/CRIPTO/INHBA/SALL1/ACACB",79
"GO:0140014","mitotic nuclear division","60/1193","281/18842",0.213523131672598,3.3723410284787,10.4169778204984,4.30490838850349e-17,1.26564306622003e-13,1.26564306622003e-13,"SPC25/PSRC1/NCAPD2/FBXO5/KIF23/ZWINT/AURKA/CCNB1/BUB1B/KIF14/CDCA8/SPAG5/KIF2C/OBSL1/DLGAP5/UBE2C/SMC2/PRC1/NCAPG/TPX2/MKI67/KIF11/NDC80/CENPA/IGF1/HSPA1A/NCAPH/SMC4/KAT2B/NEK2/EDN3/CENPF/NCAPG2/TUBG1/TOM1L1/IGF2/BIRC5/HSPA1B/CDK1/BUB1/EPS8/INSR/MAD2L1/CDC20/ESPL1/NUSAP1/KIF15/BORA/CAV2/KIF18A/CDC25C/CHEK1/TTK/KIF4A/CENPE/UBE2S/KIF18B/TRIP13/AURKB/RACGAP1",60
"GO:0048598","embryonic morphogenesis","68/1193","354/18842",0.192090395480226,3.03383674068602,10.0434957081571,1.13531003835317e-16,2.22520767517222e-13,2.22520767517222e-13,"COL8A1/GREM2/CELSR1/PAX2/ITGA8/ENG/HOXC4/DACT1/MFAP5/EDNRA/TGFBR2/PTCH1/EFEMP1/ALDH1A3/NR4A3/HPN/TBX3/COL5A1/ITGA7/HOXD11/SOBP/SULF1/SOX9/APOA1/FOXA2/NECTIN3/COBL/ITGB2/MYO6/DUSP2/MSX2/STRA6/STIL/COL7A1/TENM4/FLRT3/MSX1/MICAL2/EYA2/PDGFRA/IGF2/SLC44A4/ZBTB16/TCF21/FN1/IHH/WNK1/FZD5/HOXA11/GPC3/OSR2/MEF2C/HOXA9/KLF4/FGFR2/SOX17/GATA4/FZD7/PAX8/FLT1/DUSP4/RYR2/COL11A1/PLS1/FBN2/GRHL2/INHBA/SALL1",68
"GO:0045787","positive regulation of cell cycle","62/1193","312/18842",0.198717948717949,3.13851097212371,9.90291873706954,4.89982546205856e-16,5.76219474338087e-13,5.76219474338087e-13,"AIF1/SVIL/CCNE2/FBXO5/KIF23/CITED2/AURKA/CCNB1/GPSM2/RRM2/KIF14/CDCA8/SPAG5/PLK4/DTL/TBX3/PLCB1/DLGAP5/UBE2C/TCF3/SMC5/LEF1/SMC2/NCAPG/CDC6/NDC80/IGF1/RAD51AP1/NCAPH/SMC4/ADAMTS1/KAT2B/NUPR1/STIL/PLSCR1/EDN3/MSX1/EZH2/NCAPG2/IGF2/BIRC5/CDK1/BUB1/NPR2/WNK1/E2F8/ECT2/FEN1/FGFR2/INSR/MAD2L1/CDC20/ESPL1/NUSAP1/CDC25C/CHEK1/MEIS2/CDC25A/RRM1/FGFR1/AURKB/RACGAP1",62
"GO:0050678","regulation of epithelial cell proliferation","62/1193","312/18842",0.198717948717949,3.13851097212371,9.90291873706954,4.89982546205856e-16,5.76219474338087e-13,5.76219474338087e-13,"HMOX1/TGFBR3/PAX2/MDK/ENG/NR4A1/CXCL12/CDKN1C/GATA6/NR4A3/HPN/CDH3/ANG/TNFAIP3/SULF1/PPARG/SOX9/VEGFA/FGF7/TRAF3IP2/CYBA/SCG2/CEACAM1/IGF1/JCAD/HMGB2/APOE/NUPR1/TNMD/VDR/AGTR1/COL4A3/ERBB3/THBS4/NRP2/AKT3/PTN/THBS1/CCL2/IL17RB/IHH/BMP6/ECM1/MMRN2/CCL11/OSR2/MEF2C/FGFR2/MTSS1/C5AR1/FZD7/OVOL2/NFIB/GATA2/FLT1/SEMA5A/CAV2/TACSTD2/FGFR1/NME1/XBP1/CAV1",62
"GO:0001822","kidney development","50/1193","225/18842",0.222222222222222,3.50973270000931,9.84636711253697,3.42853276118981e-15,3.35996210596601e-12,3.35996210596601e-12,"HPGD/CD24/PAX2/ITGA8/PODXL/EDNRA/PTCH1/HNF1B/HOXD11/ENPEP/SULF1/PROM1/SOX9/VEGFA/TRAF3IP2/HOXB7/STRA6/EPCAM/MME/AGTR1/COL4A3/CENPF/PDGFRA/EZH2/ZBTB16/TCF21/ANGPT1/EGR1/PCSK5/BMP6/HOXA11/GPC3/ALDH1A2/OSR2/HELLS/MEF2C/PDGFA/ACTA2/FGFR2/MTSS1/SOX17/SERPINF1/PAX8/PDGFD/AQP1/IQGAP1/TACSTD2/ARG2/SALL1/HS3ST3A1",50
"GO:0090068","positive regulation of cell cycle process","53/1193","252/18842",0.21031746031746,3.32171130536596,9.64674806721751,5.83644390584597e-15,4.90261288091062e-12,4.90261288091062e-12,"AIF1/SVIL/CCNE2/FBXO5/KIF23/AURKA/CCNB1/GPSM2/RRM2/KIF14/CDCA8/SPAG5/PLK4/DTL/PLCB1/DLGAP5/UBE2C/SMC5/LEF1/SMC2/NCAPG/CDC6/NDC80/IGF1/RAD51AP1/NCAPH/SMC4/ADAMTS1/KAT2B/STIL/PLSCR1/EDN3/EZH2/NCAPG2/IGF2/BIRC5/CDK1/BUB1/NPR2/WNK1/E2F8/ECT2/FEN1/INSR/MAD2L1/CDC20/ESPL1/NUSAP1/CDC25C/CDC25A/RRM1/AURKB/RACGAP1",53
"GO:0072001","renal system development","50/1193","231/18842",0.216450216450216,3.41857081169738,9.61594759342593,1.04187567195164e-14,6.8505639752263e-12,6.8505639752263e-12,"HPGD/CD24/PAX2/ITGA8/PODXL/EDNRA/PTCH1/HNF1B/HOXD11/ENPEP/SULF1/PROM1/SOX9/VEGFA/TRAF3IP2/HOXB7/STRA6/EPCAM/MME/AGTR1/COL4A3/CENPF/PDGFRA/EZH2/ZBTB16/TCF21/ANGPT1/EGR1/PCSK5/BMP6/HOXA11/GPC3/ALDH1A2/OSR2/HELLS/MEF2C/PDGFA/ACTA2/FGFR2/MTSS1/SOX17/SERPINF1/PAX8/PDGFD/AQP1/IQGAP1/TACSTD2/ARG2/SALL1/HS3ST3A1",50
"GO:0001501","skeletal system development","63/1193","341/18842",0.18475073313783,2.91791560250041,9.29225726606598,1.04855571049382e-14,6.8505639752263e-12,6.8505639752263e-12,"HAPLN1/DLX5/LRRC17/MDK/HOXC4/GHR/TIMP1/EDNRA/TGFBR2/PAPSS1/EFEMP1/RUNX1/TBX3/COL10A1/COL5A1/HOXD11/COMP/SULF1/SOX9/IGF1/AGRN/CCN4/WNT2B/PTGER4/MSX2/SFRP4/FRZB/PLS3/TGFBI/PDGFRA/TP53/MMP16/SLC26A2/ZBTB16/IHH/NPR2/EPYC/TYROBP/PCSK5/BMP6/CD44/HOXA11/NPR3/MAP2K6/VCAN/OSR2/MEF2C/INHA/HOXA9/FGFR2/CHI3L1/NFIB/COL1A1/MGP/PRELP/FGFR3/OGN/COL11A1/ITGB8/FBN2/FGFR1/TGM2/LEPR",63
"GO:0050673","epithelial cell proliferation","64/1193","356/18842",0.179775280898876,2.83933431910866,9.10911833342965,2.43825853356757e-14,1.43369601773773e-11,1.43369601773773e-11,"HMOX1/TGFBR3/PAX2/MDK/ENG/NR4A1/CXCL12/CDKN1C/GATA6/NR4A3/HPN/CDH3/ANG/TNFAIP3/KIT/SULF1/PPARG/SOX9/VEGFA/FGF7/TRAF3IP2/CYBA/SCG2/CEACAM1/IGF1/JCAD/HMGB2/APOE/NUPR1/TNMD/VDR/AGTR1/COL4A3/ERBB3/THBS4/NRP2/AKT3/PTN/THBS1/CCL2/IL17RB/IHH/BMP6/ECM1/MMRN2/CCL11/ZEB2/OSR2/MEF2C/FGFR2/MTSS1/C5AR1/FZD7/OVOL2/NFIB/GATA2/FLT1/SEMA5A/CAV2/TACSTD2/FGFR1/NME1/XBP1/CAV1",64
