"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072562","blood microparticle","46/1234","145/19979",0.317241379310345,5.1362767562734,12.8256474535612,4.32924753104959e-21,3.31187436125293e-18,3.31187436125293e-18,"IGLC1/ENG/IGKV4-1/IGKV2D-28/IGLC3/IGLV3-25/STOM/IGKV1-17/CFB/JCHAIN/HP/APOA1/HSPA1A/SERPINA3/APOE/IGHA2/IGHA1/C1QB/SERPING1/IGHG3/HSPA6/PROS1/HSPA1B/FN1/IGHM/CFHR1/IGKV1-5/C1S/IGKC/IGKV1-39/CFH/C1RL/IGHV3-23/IGHG1/FGG/ACTG2/SLC2A1/ORM2/C1R/CLU/ORM1/C4B/C3/C4A/IGLC2/HPR",46
"GO:0005614","interstitial matrix","32/1234","98/19979",0.326530612244898,5.2866735024642,10.9145338843764,1.70489726317971e-15,6.52123203166239e-13,6.52123203166239e-13,"COL8A1/OMD/HAPLN1/COL8A2/LTBP3/MFAP5/ECM2/FMOD/COL10A1/COL5A1/COMP/COL6A2/FBLN1/TNC/TGFBI/THBS4/BGN/THBS1/THBS2/FN1/LTBP2/COL14A1/EPYC/ASPN/VCAN/COL16A1/COL1A1/PRELP/OGN/COL11A1/FBN2/DCN",32
"GO:0031091","platelet alpha granule","28/1234","91/19979",0.307692307692308,4.98167310809126,9.76745916714033,5.258677937403e-13,1.34096287403776e-10,1.34096287403776e-10,"SERPINA5/SERPINE2/TIMP1/SERPINA1/VEGFA/IGF1/QSOX1/SERPINA3/F8/SERPING1/PCDH7/CFD/IGF2/LEFTY2/PROS1/THBS1/THBS2/FN1/VWF/SERPINE1/SRGN/PDGFA/FGG/PHACTR2/ORM2/CLU/ORM1/SNCA",28
"GO:0045121","membrane raft","54/1234","298/19979",0.181208053691275,2.93383768614099,8.62969472082636,7.4884977137598e-13,1.43217518775656e-10,1.43217518775656e-10,"AHNAK/CNR1/CD24/MS4A4A/PODXL/TGFBR2/ABCA1/SLC39A6/PTCH1/PLPP1/PLPP2/STOM/BST2/PLPP3/DPP4/SULF1/PTGIS/CAVIN2/SELE/TFPI/ENO2/SORBS1/ITGB2/GPM6B/CAVIN1/PLSCR1/SLC1A1/MME/CXADR/PRNP/FXYD1/KCND2/ADGRG1/ANGPT1/CDH1/CD44/S100A10/SCARB1/CD14/INSR/IL6ST/PLLP/ICAM1/KCNMA1/CD55/RECK/CAV2/SLC2A1/KIF18A/DMD/CRIPTO/MAG/FAS/CAV1",54
"GO:0098857","membrane microdomain","54/1234","300/19979",0.18,2.91427876823339,8.57146702775753,9.88040045085255e-13,1.51170126898044e-10,1.51170126898044e-10,"AHNAK/CNR1/CD24/MS4A4A/PODXL/TGFBR2/ABCA1/SLC39A6/PTCH1/PLPP1/PLPP2/STOM/BST2/PLPP3/DPP4/SULF1/PTGIS/CAVIN2/SELE/TFPI/ENO2/SORBS1/ITGB2/GPM6B/CAVIN1/PLSCR1/SLC1A1/MME/CXADR/PRNP/FXYD1/KCND2/ADGRG1/ANGPT1/CDH1/CD44/S100A10/SCARB1/CD14/INSR/IL6ST/PLLP/ICAM1/KCNMA1/CD55/RECK/CAV2/SLC2A1/KIF18A/DMD/CRIPTO/MAG/FAS/CAV1",54
"GO:0140151","solid phase of interstitial matrix","23/1234","64/19979",0.359375,5.81843851296596,9.90597014841503,1.59985015117009e-12,2.03980894274187e-10,2.03980894274187e-10,"COL8A1/COL8A2/LTBP3/MFAP5/COL10A1/COL5A1/COMP/COL6A2/FBLN1/TGFBI/THBS4/BGN/THBS1/THBS2/FN1/LTBP2/COL14A1/VCAN/COL16A1/COL1A1/COL11A1/FBN2/DCN",23
"GO:0005604","basement membrane","28/1234","103/19979",0.271844660194175,4.40128400811946,8.87948703249706,1.49866678287803e-11,1.63782869843099e-09,1.63782869843099e-09,"COL8A1/LAMC3/LAMA4/COL8A2/P3H2/TIMP1/NID2/COL5A1/ANG/MATN2/FBLN1/ADAMTS1/AGRN/TNC/COL7A1/TIMP3/COL4A3/TGFBI/THBS4/THBS2/FN1/EGFL6/MMRN2/ACTA2/COL16A1/SERPINF1/LAMC2/LAMB2",28
"GO:0140149","non-collagenous component of interstitial matrix","18/1234","44/19979",0.409090909090909,6.62336083689406,9.58087186863725,3.35048940333486e-11,3.20390549193896e-09,3.20390549193896e-09,"COL8A1/COL8A2/LTBP3/MFAP5/COMP/COL6A2/FBLN1/TGFBI/THBS4/BGN/THBS1/THBS2/FN1/LTBP2/VCAN/COL16A1/FBN2/DCN",18
"GO:0031093","platelet alpha granule lumen","22/1234","67/19979",0.328358208955224,5.31626309296306,9.07985117440275,3.84958838121817e-11,3.27215012403545e-09,3.27215012403545e-09,"TIMP1/SERPINA1/VEGFA/IGF1/QSOX1/SERPINA3/F8/SERPING1/CFD/IGF2/LEFTY2/PROS1/THBS1/FN1/VWF/SERPINE1/SRGN/PDGFA/FGG/ORM2/CLU/ORM1",22
"GO:0005788","endoplasmic reticulum lumen","53/1234","338/19979",0.156804733727811,2.53873725700805,7.3203506327201,3.44190753013551e-10,2.63305926055366e-08,2.63305926055366e-08,"COL8A1/EMID1/GPX7/COL8A2/P3H2/TIMP1/IGFBP5/FMO1/SERPINA1/COL10A1/COL5A1/PDIA6/ADAMTS5/PTGIS/COL6A2/IGFBP3/APOA1/SCG2/QSOX1/NEK2/PENK/TNC/APOE/COL7A1/F8/COL4A3/SERPING1/ARSJ/THBS1/FN1/COL14A1/TSPAN5/CDH1/MMRN2/GPC3/GOLM1/IGFBP1/VCAN/BDNF/PDGFA/FGG/COL16A1/RNASET2/PDIA4/COL1A1/P4HA2/PDGFD/CLU/DNAJC10/C3/COL11A1/C4A/LAMB2",53
"GO:0016324","apical plasma membrane","60/1234","429/19979",0.13986013986014,2.26439686731421,6.79249829767913,2.37772844733594e-09,1.65360205655636e-07,1.65360205655636e-07,"SHANK2/SLC7A1/PATJ/CYBRD1/PODXL/OCLN/EPS15/MREG/SLC39A6/PLPP1/BST2/HPN/SLC12A8/DPP4/ENPEP/ADGRG2/PROM1/CA12/CYBA/ANK2/CEACAM1/SLC47A1/SLC34A2/MUC1/CTSL/EPCAM/SLC1A1/ERBB3/FXYD1/ASPM/SLC44A4/SLC26A2/SLCO2B1/SCNN1A/FN1/SLC15A2/SLC6A8/PDZK1/SLC22A5/CD44/GABRP/SLC23A2/PLD1/NHERF1/MPDZ/SLCO3A1/MTCL1/CLDN4/ANO1/PLLP/KCNMA1/PALM2AKAP2/CLIC5/SLC2A1/AQP1/SLC39A8/IQGAP1/NOD1/CRIPTO/CAV1",60
"GO:0042613","MHC class II protein complex","10/1234","17/19979",0.588235294117647,9.52378682429211,9.02081708273044,1.0170208389951e-08,6.48350784859377e-07,6.48350784859377e-07,"HLA-DRB1/HLA-DRB3/HLA-DRB5/HLA-DPB1/HLA-DQB1/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQA2/HLA-DRB4",10
"GO:0034774","secretory granule lumen","48/1234","328/19979",0.146341463414634,2.36933233189706,6.41570399564975,2.26611938507783e-08,1.33352409968041e-06,1.33352409968041e-06,"SLPI/MNDA/TIMP1/SERPINA1/SELENOP/RARRES2/VEGFA/HP/APOA1/IGF1/GLA/OLFM4/QSOX1/PENK/SERPINA3/TIMP3/F8/QPCT/SERPING1/ADM/CFD/HSPA6/IGF2/LEFTY2/PROS1/THBS1/FN1/VWF/SERPINE1/GUSB/ECM1/CHIT1/GGH/SRGN/PDGFA/CHI3L1/FGG/CRISP3/CREG1/RNASET2/TCN1/ORM2/PTX3/CLU/ORM1/FTL/C3/LYZ",48
