"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","likely_gene_overlap_artifact"
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","34/705","99/9416",0.343434343434343,4.58691883372734,10.2063818558362,8.91267889007623e-15,2.19026388570801e-12,2.19026388570801e-12,"KRT19/HLA-DRB1/FCGR2B/CFB/C1QA/ITGB2/FCGR2C/C1QB/CFD/HLA-DRB3/FCGR1A/HLA-DRB5/FCGR2A/HLA-DPB1/C1S/DEFB1/HLA-DQB1/CFH/FGG/HLA-DRA/C5AR1/ICAM1/HLA-DPA1/C1R/HLA-DQA1/HLA-DQA2/KRT23/C4B/C3/HLA-DRB4/C4A/C4B_2/C3AR1/KRT18",34,TRUE
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","32/705","89/9416",0.359550561797753,4.80216750338672,10.2524102090756,1.24446811687955e-14,2.19026388570801e-12,2.19026388570801e-12,"SERPINA5/SERPINE2/SERPINA1/CFB/C1QA/TFPI/ITGB2/VSIG4/F8/C1QB/SERPING1/CFD/CD59/PROS1/C4BPB/VWF/C7/CFHR1/SERPINE1/C1S/CFH/FGG/C5AR1/CD55/THBD/C1R/CLU/C4B/C3/C4A/C4B_2/C3AR1",32,FALSE
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","42/705","160/9416",0.2625,3.50595744680851,9.09479101802535,2.47723958558896e-13,2.90662778042437e-11,2.90662778042437e-11,"HLA-E/ITGA8/NLGN1/HLA-DRB1/OCLN/CD22/CDH3/NRCAM/ITGA6/SELE/CLDN3/NECTIN3/CLDN10/ITGB2/CNTNAP2/NFASC/NRXN1/CXADR/NCAM1/HLA-DRB3/CLDN7/HLA-DRB5/JAM3/CDH1/VCAM1/CD40/CLDN5/HLA-DPB1/VTCN1/VCAN/HLA-DQB1/CLDN4/NLGN4X/HLA-DRA/ICAM1/CADM1/HLA-DPA1/HLA-DQA1/HLA-DQA2/HLA-DRB4/ITGB8/MAG",42,FALSE
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","46/705","233/9416",0.197424892703863,2.63681246765897,7.19706303716283,7.53363372008382e-10,6.62959767367376e-08,6.62959767367376e-08,"SGCE/ITGA8/PDLIM1/NID2/COL5A1/MYH11/ITGA7/COMP/LMNB2/ITGA6/COL6A2/FBLN1/ANK2/FHL2/PDLIM5/ENO2/ANK3/AGRN/COL4A3/SGCD/THBS4/SYNE3/BGN/LMNB1/THBS1/THBS2/FN1/TNNC1/DES/DSP/LDB3/VCAN/MYL9/COL1A1/TPM1/SYNE2/ACTG2/SPTBN1/PDLIM3/COL11A1/ITGB8/FBN2/DMD/DCN/TPM2/LMOD1",46,FALSE
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","35/705","154/9416",0.227272727272727,3.0354609929078,7.24505138416804,1.81312276445604e-09,1.27643842617706e-07,1.27643842617706e-07,"LAMC3/LAMA4/ITGA8/ITGA7/COMP/ITGA6/COL6A2/VEGFA/IGF1/ITGB2/TNC/MET/COL4A3/PDGFRA/THBS4/AKT3/THBS1/THBS2/FN1/VWF/ARHGEF6/CDH1/VCAM1/LIMS1/PDGFA/FGG/TNXB/ICAM1/COL1A1/FLT1/PDGFD/LAMC2/C3/ITGB8/LAMB2",35,FALSE
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","20/705","70/9416",0.285714285714286,3.81600810536981,6.7272992371523,1.06465528656948e-07,6.24597768120761e-06,6.24597768120761e-06,"SGCE/HLA-E/HLA-DRB1/ITGB2/CXADR/SGCD/HLA-DRB3/HLA-DRB5/CD40/HLA-DPB1/HLA-DQB1/HLA-DRA/ICAM1/CD55/HLA-DPA1/HLA-DQA1/HLA-DQA2/HLA-DRB4/DMD/CAV1",20,FALSE
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","22/705","89/9416",0.247191011235955,3.30149015857837,6.20588682031453,4.11135712240686e-07,2.06742529583888e-05,2.06742529583888e-05,"HMMR/LAMC3/LAMA4/ITGA8/ITGA7/COMP/ITGA6/COL6A2/AGRN/TNC/COL4A3/THBS4/THBS1/THBS2/FN1/VWF/CD44/TNXB/COL1A1/LAMC2/ITGB8/LAMB2",22,FALSE
"Human Diseases","Immune disease","hsa05310","Asthma","12/705","32/9416",0.375,5.00851063829787,6.46152075905346,1.57770988208632e-06,6.94192348117981e-05,6.94192348117981e-05,"HLA-DRB1/HLA-DRB3/HLA-DRB5/CD40/CCL11/HLA-DPB1/HLA-DQB1/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQA2/HLA-DRB4",12,FALSE
"Human Diseases","Immune disease","hsa05330","Allograft rejection","13/705","39/9416",0.333333333333333,4.45200945626478,6.14529925007491,2.72297838703052e-06,9.67423494761735e-05,9.67423494761735e-05,"HLA-E/HLA-DRB1/HLA-DRB3/HLA-DRB5/CD40/HLA-DPB1/HLA-DQB1/HLA-DRA/HLA-DPA1/HLA-DQA1/HLA-DQA2/HLA-DRB4/FAS",13,FALSE
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","35/705","204/9416",0.17156862745098,2.2914754554304,5.305117284776,2.74836220102766e-06,9.67423494761735e-05,9.67423494761735e-05,"ESR1/PTCH1/HOXD10/PPP1R12B/VEGFA/ANK2/IGF1/ANK3/WNT2B/FZD10/CTSL/MET/TIMP3/ITPR1/ERBB3/TP53/IGF2/AKT3/THBS1/FN1/IHH/FZD5/CD44/WNT2/GPC3/FZD7/COL1A1/CAV2/IQGAP1/CDKN1A/FGFR1/DCN/FAS/FZD4/CAV1",35,FALSE
