"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0072562","blood microparticle","45/1471","145/19979",0.310344827586207,4.21507770927589,10.9540045355526,2.80914696297386e-17,2.148997426675e-14,2.148997426675e-14,"IGKV2D-28/IGLC1/HSPA6/APOE/IGLV3-25/IGLC3/ORM1/IGHA1/C4B/IGHG1/IGHV3-23/SERPING1/A2M/CFH/C1S/C1QB/FN1/IGKV4-1/ORM2/SLC2A1/SERPINA3/C3/CFHR1/FGG/GSN/C4A/ACTG2/IGHA2/STOM/C1R/IGHM/JCHAIN/IGKV1-39/CFB/APOA1/IGKC/HP/IGHG3/HPR/IGKV1-17/IGLC2/IGKV1-5/CLU/PROS1/ENG",45
"GO:0031091","platelet alpha granule","33/1471","91/19979",0.362637362637363,4.92531058336633,10.5803920640844,2.8956762191158e-15,1.10759615381179e-12,1.10759615381179e-12,"SERPINE2/VEGFA/PECAM1/ORM1/GAS6/SERPING1/A2M/LEFTY2/THBS1/THBS2/FN1/ORM2/SERPINA3/PDGFA/SNCA/FGG/CFD/SRGN/IGF2/SERPINA5/PCDH7/SERPINA1/TIMP1/F8/SELP/STXBP1/SERPINE1/IGF1/CLU/SPARC/PROS1/VWF/QSOX1",33
"GO:0005614","interstitial matrix","34/1471","98/19979",0.346938775510204,4.71209367499549,10.385213941394,5.12695516174469e-15,1.3073735662449e-12,1.3073735662449e-12,"THBS4/COL11A1/COL8A2/ECM2/OGN/BGN/FMOD/MFAP5/THBS1/ASPN/THBS2/FN1/ELN/PRELP/TGFBI/MFAP4/COL6A3/COMP/EMILIN1/LTBP2/EPYC/COL14A1/FBLN1/TNC/VCAN/COL6A2/COL10A1/COL16A1/OMD/FBLN5/DCN/LTBP3/FBN2/SPOCK2",34
"GO:0140149","non-collagenous component of interstitial matrix","22/1471","44/19979",0.5,6.79095853161115,10.8410480321297,4.44053490198746e-14,8.49252300005103e-12,8.49252300005103e-12,"THBS4/COL8A2/BGN/MFAP5/THBS1/THBS2/FN1/ELN/TGFBI/MFAP4/COL6A3/COMP/EMILIN1/LTBP2/FBLN1/VCAN/COL6A2/COL16A1/FBLN5/DCN/LTBP3/FBN2",22
"GO:0045121","membrane raft","60/1471","298/19979",0.201342281879195,2.73461417380315,8.50530784858936,6.39533079420602e-13,9.78485611513522e-11,9.78485611513522e-11,"ADGRG1/CD55/S1PR1/ANGPT1/PECAM1/PLPP3/SCARB1/PLSCR1/CAVIN1/CDH1/INSR/PLPP1/ABCA1/CAVIN2/CXADR/PLLP/CRIPTO/CD14/SLC2A1/CD24/DLG1/HCK/KCND2/DPP4/FXYD1/TFPI/ITGB2/STOM/SULF1/GPM6B/SORBS1/PODXL/MS4A4A/KCNMA1/ITGAM/RFTN1/CAV2/TPP1/CNR1/MME/RECK/GAB2/PRNP/S100A10/KIF18A/PTCH1/ENO2/CLIP3/BST2/CAV1/TGFBR2/SELE/ICAM1/PLPP2/SLC1A1/CD44/SLC39A6/DMD/PTGIS/PDPN",60
"GO:0098857","membrane microdomain","60/1471","300/19979",0.2,2.71638341264446,8.44454041701193,8.64944625841422e-13,1.03170313997142e-10,1.03170313997142e-10,"ADGRG1/CD55/S1PR1/ANGPT1/PECAM1/PLPP3/SCARB1/PLSCR1/CAVIN1/CDH1/INSR/PLPP1/ABCA1/CAVIN2/CXADR/PLLP/CRIPTO/CD14/SLC2A1/CD24/DLG1/HCK/KCND2/DPP4/FXYD1/TFPI/ITGB2/STOM/SULF1/GPM6B/SORBS1/PODXL/MS4A4A/KCNMA1/ITGAM/RFTN1/CAV2/TPP1/CNR1/MME/RECK/GAB2/PRNP/S100A10/KIF18A/PTCH1/ENO2/CLIP3/BST2/CAV1/TGFBR2/SELE/ICAM1/PLPP2/SLC1A1/CD44/SLC39A6/DMD/PTGIS/PDPN",60
"GO:0140151","solid phase of interstitial matrix","25/1471","64/19979",0.390625,5.30543635282121,9.72567158777285,9.44042088862738e-13,1.03170313997142e-10,1.03170313997142e-10,"THBS4/COL11A1/COL8A2/BGN/MFAP5/THBS1/THBS2/FN1/ELN/TGFBI/MFAP4/COL6A3/COMP/EMILIN1/LTBP2/COL14A1/FBLN1/VCAN/COL6A2/COL10A1/COL16A1/FBLN5/DCN/LTBP3/FBN2",25
"GO:0031093","platelet alpha granule lumen","25/1471","67/19979",0.373134328358209,5.06787950120235,9.40265788575781,3.17411962707317e-12,3.03525189338872e-10,3.03525189338872e-10,"VEGFA/ORM1/GAS6/SERPING1/A2M/LEFTY2/THBS1/FN1/ORM2/SERPINA3/PDGFA/FGG/CFD/SRGN/IGF2/SERPINA1/TIMP1/F8/SERPINE1/IGF1/CLU/SPARC/PROS1/VWF/QSOX1",25
"GO:0009897","external side of plasma membrane","67/1471","378/19979",0.177248677248677,2.40737683395739,7.78788946738125,1.3587671578194e-11,1.15495208414649e-09,1.15495208414649e-09,"SCNN1A/S1PR1/CEACAM21/IL4R/LAG3/PECAM1/HLA-DRB1/GRIA2/FCGR2A/THBS1/OSMR/VTCN1/FOLR2/NRCAM/CD163/INSR/MCAM/CDH5/CXCL12/ABCA1/HEG1/IL7R/CD14/ENOX1/DNAI2/CD24/CLEC10A/THBD/FGG/ASTN1/CD40/MUC16/PDGFRA/ITGB2/FOLR1/GHR/CD59/TGFBR3/SLC4A3/COLEC11/ITGAM/SERPINA5/FCGR1A/CD22/ADGRA3/SPA17/TMEM123/HLA-E/ST14/PRNP/CD248/FCGR2B/SELP/CD74/LEPR/NCAM1/FCGR1BP/VCAM1/TGFBR2/ENPEP/SELE/FCER1A/ICAM1/KIT/ENG/FCGR2C/ALCAM",67
"GO:0042613","MHC class II protein complex","12/1471","17/19979",0.705882352941177,9.58723557403927,9.98569754135912,1.06267106528015e-10,8.12943364939315e-09,8.12943364939315e-09,"HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRA/HLA-DRB3/HLA-DQA1/CD74/HLA-DOB/HLA-DQA2/HLA-DRB4/HLA-DRB5",12
