"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","39/823","99/9411",0.393939393939394,4.50469457638352,10.8516306009305,7.69234524291821e-17,2.70770552550721e-14,2.70770552550721e-14,"C1QA/HLA-DRB1/KRT23/C4B/FCGR2A/HLA-DPB1/CFH/C1S/C1QB/HLA-DPA1/HLA-DQB1/KRT19/HLA-DRA/C4B_2/C3/FGG/CFD/C4A/ITGB2/FPR1/C1R/HLA-DRB3/ITGAM/FCGR1A/CFB/HLA-DQA1/C5AR1/FCGR2B/SELP/C3AR1/HLA-DOB/ICAM1/DEFB1/HLA-DQA2/KRT18/HLA-DRB4/HLA-DRB5/FCGR2C/C2",39
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","36/823","89/9411",0.404494382022472,4.62539080098844,10.6376082827935,4.45147733569874e-16,7.83460011082978e-14,7.83460011082978e-14,"C1QA/CD55/SERPINE2/C4B/SERPING1/A2M/CFH/C1S/C1QB/C4B_2/THBD/C3/CFHR1/FGG/CFD/C4A/TFPI/ITGB2/C1R/CD59/ITGAM/SERPINA5/CFB/SERPINA1/VSIG4/F8/C5AR1/C3AR1/SERPINE1/C7/CLU/PLAT/C4BPB/PROS1/C2/VWF",36
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","46/823","160/9411",0.2875,3.28756075334143,9.03414380237262,1.35717478245297e-13,1.59241841141148e-11,1.59241841141148e-11,"ITGA8/PECAM1/HLA-DRB1/ICAM2/HLA-DPB1/CDH1/JAM2/CDH3/VTCN1/NRCAM/CDH5/CXADR/ITGA6/CLDN4/HLA-DPA1/HLA-DQB1/SIGLEC1/HLA-DRA/CLDN7/CLDN10/NFASC/CD40/ITGB2/ITGB8/HLA-DRB3/ITGAM/JAM3/VCAN/CD22/HLA-DQA1/HLA-E/CLDN3/SELP/OCLN/CLDN5/HLA-DOB/NLGN1/NCAM1/CADM1/VCAM1/SELE/ICAM1/HLA-DQA2/HLA-DRB4/HLA-DRB5/ALCAM",46
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","42/823","154/9411",0.272727272727273,3.11863470672705,8.20597184316252,1.086768353834e-11,9.56356151373919e-10,9.56356151373919e-10,"THBS4/FLT1/PIK3R1/VEGFA/ITGA8/ICAM2/CDH1/ITGA7/LAMA4/THBS1/THBS2/FN1/ITGA6/PDGFA/COL6A3/COMP/C3/FLNA/AKT3/FGG/PDGFRA/TNXB/ITGB2/ITGB8/TNC/COL4A3/ITGAM/COL4A6/LIMS1/COL6A2/FERMT2/LIMS2/LAMB2/MET/VCAM1/CCND1/ICAM1/IGF1/ARHGEF6/LAMC2/VWF/PDGFD",42
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","51/823","233/9411",0.218884120171674,2.50293858436892,7.19107601085364,4.66969866519681e-10,3.28746786029855e-08,3.28746786029855e-08,"THBS4/LDB3/COL11A1/TPM2/ITGA8/DSP/NID2/ANK2/BGN/CSRP1/FHL1/ITGA7/THBS1/THBS2/FN1/ELN/TPM1/MYOZ3/ITGA6/MYH11/SYNE3/COL6A3/COMP/PDLIM1/SGCD/ACTG2/FBLN1/DSG2/ITGB8/COL4A3/COL4A6/VCAN/PDLIM3/TNNC1/DES/ANK3/SGCE/COL6A2/PDLIM7/TMOD3/ENO2/LMNB2/MYL9/LMOD1/DCN/FHL2/LMNB1/SPTBN1/PDLIM5/DMD/FBN2",51
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","22/823","70/9411",0.314285714285714,3.59385523346641,6.74290093646532,5.88166602099481e-08,3.27704459074205e-06,3.27704459074205e-06,"CD55/HLA-DRB1/HLA-DPB1/CXADR/HLA-DPA1/HLA-DQB1/HLA-DRA/SGCD/CD40/ITGB2/HLA-DRB3/SGCE/HLA-DQA1/HLA-E/HLA-DOB/CAV1/CCND1/ICAM1/HLA-DQA2/DMD/HLA-DRB4/HLA-DRB5",22
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","63/823","362/9411",0.174033149171271,1.99006800346395,5.94658632796583,6.51685003840748e-08,3.27704459074205e-06,3.27704459074205e-06,"THBS4/FLT1/FGFR3/CSF1R/PIK3R1/FGF9/CREB5/FGFR2/IL4R/VEGFA/ANGPT1/ITGA8/FLT3LG/NRTN/NGF/ERBB4/NTRK2/ITGA7/LAMA4/CCNE2/THBS1/FGF7/OSMR/GNG4/THBS2/INSR/FN1/ITGA6/IL7R/EIF4E/BRCA1/PDGFA/COL6A3/COMP/AKT3/PDGFRA/TNXB/ITGB8/IGF2/GHR/TNC/COL4A3/COL4A6/COL6A2/C8orf44-SGK3/SGK3/MAGI1/LAMB2/MET/LPAR4/CCND1/ERBB3/MYB/BDNF/IGF1/CDKN1A/KIT/LAMC2/NTF3/NR4A1/VWF/PDGFD/FGFR1",63
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","45/823","224/9411",0.200892857142857,2.29720860093734,6.08268997805837,7.8770508428642e-08,3.46590237086025e-06,3.46590237086025e-06,"PIK3R1/CREB5/HLA-DRB1/CCNA1/BUB1B/HLA-DPB1/CCNE2/EGR1/MSX1/ADCY9/HLA-DPA1/HLA-DQB1/SLC2A1/ATR/HLA-DRA/STAT5B/CCNB2/AKT3/CDC20/DLG1/CD40/MSX2/ITGB2/CHEK1/HLA-DRB3/PTTG1/CCNA2/CRTC3/MAP3K1/ESPL1/HLA-DQA1/HLA-E/ZFP36/HLA-DOB/MAD2L1/FOS/TGFBR2/MMP7/CCND1/ICAM1/CDKN1A/HLA-DQA2/IL15/HLA-DRB4/HLA-DRB5",45
"Human Diseases","Immune disease","hsa05310","Asthma","14/823","32/9411",0.4375,5.00280984204131,7.02118460038079,1.44890987034902e-07,5.66684749292063e-06,5.66684749292063e-06,"CCL11/HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRA/CD40/HLA-DRB3/HLA-DQA1/HLA-DOB/FCER1A/HLA-DQA2/HLA-DRB4/HLA-DRB5",14
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","26/823","100/9411",0.26,2.97309842041312,6.1404372416006,2.72230964330568e-07,9.58252994443599e-06,9.58252994443599e-06,"CD55/CSF1R/IL4R/FLT3LG/HLA-DRB1/HLA-DPB1/ITGA6/IL7R/CD14/HLA-DPA1/HLA-DQB1/HLA-DRA/CD24/CD59/HLA-DRB3/ITGAM/FCGR1A/CD22/MME/HLA-DQA1/HLA-DOB/HLA-DQA2/CD44/KIT/HLA-DRB4/HLA-DRB5",26
