"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030018","Z disc","11/122","134/19979",0.082089552238806,13.4431734768779,11.3281008123474,6.08174110152137e-10,4.65253194266385e-07,4.65253194266385e-07,"KCNN3/CSRP1/ITGB1BP2/PPP1R12B/LDB3/CASQ2/MYOZ3/PDLIM3/DES/SYNPO/KCNA5",11
"GO:0031674","I band","11/122","150/19979",0.0733333333333333,12.0092349726776,10.6084385742771,2.02932129869058e-09,7.76215396749145e-07,7.76215396749145e-07,"KCNN3/CSRP1/ITGB1BP2/PPP1R12B/LDB3/CASQ2/MYOZ3/PDLIM3/DES/SYNPO/KCNA5",11
"GO:0043292","contractile muscle fiber","13/122","253/19979",0.0513833992094862,8.41466338365839,9.30317707707521,5.1103256486723e-09,1.30313304041144e-06,1.30313304041144e-06,"KCNN3/CSRP1/ITGB1BP2/PPP1R12B/LDB3/MYH11/SYNM/CASQ2/MYOZ3/PDLIM3/DES/SYNPO/KCNA5",13
"GO:0030016","myofibril","12/122","243/19979",0.0493827160493827,8.08702691762801,8.71237886214378,3.18374303682967e-08,6.08890855793675e-06,6.08890855793675e-06,"KCNN3/CSRP1/ITGB1BP2/PPP1R12B/LDB3/SYNM/CASQ2/MYOZ3/PDLIM3/DES/SYNPO/KCNA5",12
"GO:0030017","sarcomere","11/122","222/19979",0.0495495495495495,8.11434795451189,8.35507189520492,1.18585076332359e-07,1.81435166788509e-05,1.81435166788509e-05,"KCNN3/CSRP1/ITGB1BP2/PPP1R12B/LDB3/CASQ2/MYOZ3/PDLIM3/DES/SYNPO/KCNA5",11
"GO:0005788","endoplasmic reticulum lumen","10/122","338/19979",0.029585798816568,4.84503831603453,5.58825642455062,4.33837337990122e-05,0.00553142605937406,0.00553142605937406,"SCG2/COL8A2/PTGIS/CLU/CHRDL1/GPC3/MMRN2/CASQ2/COL4A3/GAS6",10
"GO:0005901","caveola","5/122","81/19979",0.0617283950617284,10.108783647035,6.43868657413789,0.000138298037418081,0.0147601472649786,0.0147601472649786,"PTGIS/FXYD1/SORBS1/PLVAP/KCNA5",5
"GO:0001725","stress fiber","5/122","85/19979",0.0588235294117647,9.63307618129219,6.2519152359084,0.00017364879135269,0.0147601472649786,0.0147601472649786,"PPP1R12B/LDB3/PDLIM3/SORBS1/SYNPO",5
"GO:0097517","contractile actin filament bundle","5/122","85/19979",0.0588235294117647,9.63307618129219,6.2519152359084,0.00017364879135269,0.0147601472649786,0.0147601472649786,"PPP1R12B/LDB3/PDLIM3/SORBS1/SYNPO",5
"GO:0042641","actomyosin","5/122","92/19979",0.0543478260869565,8.90012473271561,5.95308833553978,0.000251648357628155,0.0192510993585538,0.0192510993585538,"PPP1R12B/LDB3/PDLIM3/SORBS1/SYNPO",5
"GO:0032432","actin filament bundle","5/122","95/19979",0.0526315789473684,8.6190681622088,5.83459729252696,0.000292211158475525,0.0203219578394342,0.0203219578394342,"PPP1R12B/LDB3/PDLIM3/SORBS1/SYNPO",5
