"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045930","negative regulation of mitotic cell cycle","47/1162","237/18842",0.19831223628692,3.21566192437017,8.79987977507829,7.53403410379697e-13,1.8285321494735e-09,1.8285321494735e-09,"BMP4/TIPIN/CDKN1C/FHL1/BUB1B/BIRC5/CCNB1/DTL/PTPN3/GMNN/TRIP13/TTK/DONSON/BARD1/PRP4K/DBF4/CDC20/BRCA1/DLG1/NDC80/INHBA/FAM107A/CHEK1/CDK1/SPDL1/SPC25/ATR/DACT1/TOPBP1/BTG3/BLM/DUSP1/MAD2L1/CDKN1A/CENPF/FBXO5/AURKB/CCL2/BRCC3/DYNC1I1/BUB1/CDC6/ZWINT/GAS1/RBBP8/TOM1L1/ZWILCH",47
"GO:0140014","mitotic nuclear division","52/1162","281/18842",0.185053380782918,3.00066764260907,8.66246177644758,7.84063787723642e-13,1.8285321494735e-09,1.8285321494735e-09,"BMP4/KIF14/SPAG5/BUB1B/BIRC5/CCNB1/KIF4A/UBE2C/NEK2/SMC2/NCAPH/FLNA/EDN3/TRIP13/TTK/RACGAP1/PRP4K/KIF2A/MKI67/KIF23/OBSL1/CDC20/BORA/TPX2/NDC80/KIF15/CHEK1/CDK1/NUSAP1/DLGAP5/SPDL1/SPC25/SMC4/KIF18A/CENPE/DUSP1/NCAPG/MAD2L1/CENPF/FBXO5/NCAPG2/CENPA/AURKB/KIF2C/AURKA/KIF11/DYNC1I1/BUB1/ZWINT/TOM1L1/ZWILCH/PRC1",52
"GO:0000070","mitotic sister chromatid segregation","43/1162","205/18842",0.209756097560976,3.40122580915998,8.86208352723307,9.8699270106538e-13,1.8285321494735e-09,1.8285321494735e-09,"KIF14/SPAG5/BUB1B/BIRC5/CCNB1/KIF4A/UBE2C/SMC2/NCAPH/FLNA/TRIP13/TTK/RACGAP1/PRP4K/KIF2A/KIF23/CDC20/TPX2/NDC80/KIF15/CDK1/NUSAP1/DLGAP5/SPDL1/SPC25/SMC4/KIF18A/CENPE/DUSP1/NCAPG/MAD2L1/CENPF/FBXO5/NCAPG2/CENPA/AURKB/KIF2C/KIF11/DYNC1I1/BUB1/ZWINT/ZWILCH/PRC1",43
"GO:0007507","heart development","68/1162","438/18842",0.155251141552511,2.51741997343582,8.23759901320398,1.52003005235063e-12,1.8285321494735e-09,1.8285321494735e-09,"FZD7/CHD7/BMP4/S1PR1/LDB3/FGFR2/PCNA/TIE1/ACACB/CCNB1/DSG2/KRAS/GATA4/ELN/CXADR/TPM1/MSX1/NEBL/SMYD2/CITED2/GREM1/FHL2/SLIT2/MICAL2/SALL1/HOPX/PDLIM3/STIL/HEY2/OBSL1/ACTC1/TGFBR3/INHBA/MSX2/CDK1/NRP2/DNAAF1/POPDC2/PDLIM7/HSPB7/MMP2/GPC3/CLDN5/EMILIN1/RGS2/SOX18/ANK2/CPE/GATA6/VCAM1/CDKN1A/SOX17/PDE2A/PAX8/FHOD3/KDR/APLNR/BMP6/PDLIM5/MEF2C/SLIT3/ENG/ZFPM2/NFATC1/ERBB4/ERBB3/MYH11/DSP",68
"GO:1905818","regulation of chromosome separation","26/1162","82/18842",0.317073170731707,5.14138785105579,9.63496902466861,1.55487427676318e-12,1.8285321494735e-09,1.8285321494735e-09,"BUB1B/BIRC5/CCNB1/UBE2C/SMC2/NCAPH/TRIP13/TTK/PRP4K/CDC20/NDC80/DLGAP5/SPDL1/SPC25/SMC4/DUSP1/NCAPG/MAD2L1/CENPF/FBXO5/NCAPG2/AURKB/DYNC1I1/BUB1/ZWINT/ZWILCH",26
"GO:0006956","complement activation","23/1162","65/18842",0.353846153846154,5.73766715212498,9.8089389036068,2.23972907426852e-12,2.19493449278315e-09,2.19493449278315e-09,"C1QA/SERPING1/CFH/FCN1/C4B/IGHD/C4A/CFHR1/C3/IGHA2/C1R/C1QB/CFD/C1S/VSIG4/A2M/C7/CLU/IGHG3/C2/IGHA1/IGHG1/COLEC11",23
"GO:0007088","regulation of mitotic nuclear division","31/1162","120/18842",0.258333333333333,4.18891279403328,8.98402711398782,5.04313915120152e-12,4.00288743951678e-09,4.00288743951678e-09,"BMP4/BUB1B/BIRC5/CCNB1/UBE2C/NEK2/EDN3/TRIP13/TTK/PRP4K/MKI67/OBSL1/CDC20/BORA/NDC80/CHEK1/NUSAP1/DLGAP5/SPDL1/SPC25/DUSP1/MAD2L1/CENPF/FBXO5/AURKB/AURKA/DYNC1I1/BUB1/ZWINT/TOM1L1/ZWILCH",31
"GO:0051783","regulation of nuclear division","33/1162","135/18842",0.244444444444444,3.96370242876267,8.85958370422052,5.44610535988678e-12,4.00288743951678e-09,4.00288743951678e-09,"BMP4/BUB1B/BIRC5/CCNB1/RAD51AP1/UBE2C/NEK2/EDN3/TRIP13/TTK/PRP4K/MKI67/OBSL1/CDC20/BORA/NDC80/CHEK1/NUSAP1/DLGAP5/SPDL1/SPC25/PLCB1/DUSP1/MAD2L1/CENPF/FBXO5/AURKB/AURKA/DYNC1I1/BUB1/ZWINT/TOM1L1/ZWILCH",33
"GO:0048598","embryonic morphogenesis","58/1162","354/18842",0.163841807909605,2.65671888522613,8.0671363260702,7.45265595148573e-12,4.86906855497068e-09,4.86906855497068e-09,"FLT1/FZD7/CHD7/EFEMP1/BMP4/COL11A1/FGFR2/COL7A1/SULF1/ITGA8/HOXA9/COL6A1/MFAP5/ZBTB16/SLC44A4/TENM4/GATA4/PAX2/MSX1/HOXA11/GREM1/MICAL2/SALL1/CELSR1/STIL/FZD5/MYO6/INHBA/MSX2/DNAAF1/TASOR/ITGA5/MMP2/COBL/GRHL2/OFD1/GREM2/DACT1/EPHB2/TCF21/GPC3/PTCH1/NR4A3/DUSP1/SOX18/APOA1/SOX17/EYA2/PAX8/HOXC4/FOXA2/APLNR/DUSP4/MEF2C/ENG/SUPT20H/PLS1/ITGA7",58
"GO:0051304","chromosome separation","26/1162","88/18842",0.295454545454545,4.7908386793929,9.13784089427563,9.5784703179157e-12,5.63214054693443e-09,5.63214054693443e-09,"BUB1B/BIRC5/CCNB1/UBE2C/SMC2/NCAPH/TRIP13/TTK/PRP4K/CDC20/NDC80/DLGAP5/SPDL1/SPC25/SMC4/DUSP1/NCAPG/MAD2L1/CENPF/FBXO5/NCAPG2/AURKB/DYNC1I1/BUB1/ZWINT/ZWILCH",26
