"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","46/664","160/9411",0.2875,4.07479292168675,10.8076385469813,3.94286345079163e-17,1.38788793467865e-14,1.38788793467865e-14,"ITGA8/ITGB8/HLA-DQA2/VTCN1/HLA-DPB1/CDH1/NRCAM/CXADR/ITGA6/CD22/HLA-DPA1/CDH3/SIGLEC1/JAM2/HLA-DRB4/CADM3/HLA-DRB5/L1CAM/SLITRK3/CD40/HLA-DQB1/CLDN7/NFASC/NRXN2/HLA-DQA1/HLA-DRA/JAM3/CLDN3/SELP/OCLN/CLDN5/NLGN1/CLDN10/VCAM1/SELE/NCAM1/ICAM1/HLA-E/ALCAM/HLA-DRB3/SELL/HLA-DRB1/CD34/PECAM1/CDH5/ICAM2",46
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","50/664","233/9411",0.214592274678112,3.04145767619836,8.69347886162974,5.7866934871872e-13,1.01845805374495e-10,1.01845805374495e-10,"THBS4/LDB3/COL11A1/ITGA8/TLN1/ITGB8/FHL1/COL6A1/THBS1/DSG2/DMD/COMP/NID2/ELN/TPM1/COL4A4/MYOZ3/ITGA6/ACTG2/NEBL/CSRP1/TMOD3/THBS2/FLNC/FHL2/COL4A3/PDLIM3/ACTC1/SYNE3/COL4A6/PDLIM7/ITGA5/ANK3/SGCE/ENO2/DES/TPM2/ANK2/COL6A2/MYL9/LMOD1/DCN/LMNB1/PDLIM5/SPTAN1/LMNA/BGN/MYH11/ITGA7/DSP",50
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","36/664","154/9411",0.233766233766234,3.3132138945392,7.97425848097742,8.75602785480707e-11,1.02737393496403e-08,1.02737393496403e-08,"THBS4/FLT1/PIK3R1/ITGA8/TLN1/ITGB8/COL6A1/CDH1/LAMA4/THBS1/COMP/TNXB/COL4A4/ITGA6/FLNA/THBS2/COL4A3/TNC/LIMS1/PDGFA/C3/COL4A6/ITGA5/VEGFD/LIMS2/LAMB2/MET/VCAM1/COL6A2/KDR/ICAM1/VWF/PDGFD/ITGA7/CCND2/ICAM2",36
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","27/664","99/9411",0.272727272727273,3.86541621029573,7.89647228165082,5.28365529457927e-10,4.64961665922975e-08,4.64961665922975e-08,"C1QA/HLA-DQA2/HLA-DPB1/CFH/HLA-DPA1/C4B_2/C4B/HLA-DRB4/HLA-DRB5/C4A/HLA-DQB1/C3/FCGR2A/C1R/HLA-DQA1/HLA-DRA/C1QB/CFD/C1S/FPR1/FCGR2B/SELP/ICAM1/FCGR2C/C2/HLA-DRB3/HLA-DRB1",27
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","24/664","89/9411",0.269662921348315,3.82198456748342,7.3696078106307,6.2249420786585e-09,4.38235922337559e-07,4.38235922337559e-07,"C1QA/SERPINE2/SERPING1/CFH/C4B_2/C4B/SERPIND1/C4A/CFHR1/C3/C1R/C1QB/CFD/C1S/THBD/VSIG4/A2M/SERPINE1/C7/CLU/PLAT/PROS1/C2/VWF",24
"Human Diseases","Immune disease","hsa05310","Asthma","13/664","32/9411",0.40625,5.75785956325301,7.4277559904804,9.47901251019728e-08,5.3797295511469e-06,5.3797295511469e-06,"HLA-DQA2/HLA-DPB1/HLA-DPA1/HLA-DRB4/HLA-DRB5/CD40/HLA-DQB1/HLA-DQA1/HLA-DRA/CCL11/FCER1A/HLA-DRB3/HLA-DRB1",13
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","39/664","224/9411",0.174107142857143,2.46765409853701,6.12505722863625,1.06983258119399e-07,5.3797295511469e-06,5.3797295511469e-06,"PIK3R1/TLN1/EGR1/HLA-DQA2/HLA-DPB1/BUB1B/KRAS/MSX1/HLA-DPA1/CCNE2/STAT5B/CCNB2/HLA-DRB4/HLA-DRB5/CDC20/CD40/DLG1/HLA-DQB1/CHEK1/MSX2/HLA-DQA1/HLA-DRA/ATR/CRTC3/PTTG1/CCNA2/MAD2L1/FOS/CDKN1A/ZFP36/MAP3K1/ICAM1/HLA-E/EGR2/IL15/NFATC1/HLA-DRB3/HLA-DRB1/CCND2",39
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","52/664","362/9411",0.143646408839779,2.03592824336018,5.53774499248588,5.48491337275501e-07,2.4133618840122e-05,2.4133618840122e-05,"THBS4/FLT1/CSF1R/IL7R/PIK3R1/FGF9/FGFR2/IL4R/ITGA8/ITGB8/COL6A1/LAMA4/HSP90AA1/THBS1/KRAS/FGF7/COMP/MAGI1/TNXB/NGF/COL4A4/ITGA6/CCNE2/THBS2/SGK3/COL4A3/TNC/GHR/BRCA1/PDGFA/C8orf44-SGK3/COL4A6/ITGA5/VEGFD/NGFR/EIF4E/LAMB2/MET/CDKN1A/COL6A2/KDR/PPP2R5C/NR4A1/VWF/PDGFD/FGFR1/NTRK2/ERBB4/ERBB3/ITGA7/CCND2/FLT3LG",52
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","21/664","89/9411",0.235955056179775,3.34423649654799,6.12196955078747,6.5037694156498e-07,2.54369648256526e-05,2.54369648256526e-05,"THBS4/ITGA8/ITGB8/COL6A1/LAMA4/THBS1/COMP/TNXB/COL4A4/ITGA6/THBS2/COL4A3/TNC/COL4A6/ITGA5/LAMB2/COL6A2/HMMR/CD44/VWF/ITGA7",21
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","15/664","50/9411",0.3,4.2519578313253,6.35211091962877,1.00438488498303e-06,3.53543479514027e-05,3.53543479514027e-05,"THBS4/THBS1/COMP/LRP1/THBS2/CD40/SELP/MET/GYPC/VCAM1/SELE/CCL2/ICAM1/ACKR1/PECAM1",15
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","22/664","100/9411",0.22,3.11810240963855,5.86675671512067,1.27166759923212e-06,4.06933631754278e-05,4.06933631754278e-05,"CSF1R/IL7R/IL4R/HLA-DQA2/HLA-DPB1/IL11RA/ITGA6/CD22/HLA-DPA1/MME/HLA-DRB4/HLA-DRB5/HLA-DQB1/HLA-DQA1/HLA-DRA/ITGA5/CD24/CD44/HLA-DRB3/HLA-DRB1/CD34/FLT3LG",22
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","27/664","142/9411",0.190140845070423,2.69490285083998,5.60688733458062,1.74466850828071e-06,4.79907815319075e-05,4.79907815319075e-05,"PIK3R1/BMP4/GSTM3/HSP90AA1/TXN/MAP2K6/GSTM4/PDGFA/MMP2/THBD/KLF2/DUSP1/CAV1/FOS/VCAM1/SELE/CCL2/KDR/GSTM5/PLAT/ICAM1/MEF2C/GSTM1/NCF2/HMOX1/PECAM1/CDH5",27
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","34/664","203/9411",0.167487684729064,2.37383524244762,5.4519178691372,1.77238681793976e-06,4.79907815319075e-05,4.79907815319075e-05,"THBS4/FLT1/PIK3R1/ITGA8/TLN1/ITGB8/COL6A1/LAMA4/THBS1/COMP/TNXB/COL4A4/ITGA6/FLNA/THBS2/COL4A3/TNC/PDGFA/MYLK/COL4A6/ITGA5/VEGFD/LAMB2/MET/CAV1/COL6A2/MYL9/PIP5K1B/KDR/PPP1R12B/VWF/PDGFD/ITGA7/CCND2",34
