"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045930","negative regulation of mitotic cell cycle","47/1162","237/18842",0.19831223628692,3.21566192437017,8.79987977507829,7.53403410379697e-13,1.8285321494735e-09,1.8285321494735e-09,"CCNB1/BMP4/DACT1/TRIP13/CDC6/TOM1L1/SPC25/CDC20/PTPN3/BRCC3/CDKN1C/DTL/ZWINT/GAS1/CHEK1/TTK/BTG3/BIRC5/PRP4K/FBXO5/TIPIN/BLM/DUSP1/CENPF/MAD2L1/DYNC1I1/DONSON/FAM107A/BUB1B/BRCA1/BARD1/DBF4/ATR/INHBA/DLG1/AURKB/GMNN/SPDL1/RBBP8/NDC80/TOPBP1/FHL1/BUB1/ZWILCH/CCL2/CDK1/CDKN1A",47
"GO:0140014","mitotic nuclear division","52/1162","281/18842",0.185053380782918,3.00066764260907,8.66246177644758,7.84063787723642e-13,1.8285321494735e-09,1.8285321494735e-09,"CCNB1/BMP4/TRIP13/TOM1L1/SPC25/CDC20/KIF14/FLNA/UBE2C/SPAG5/EDN3/OBSL1/CENPA/SMC4/BORA/KIF4A/RACGAP1/ZWINT/CHEK1/TTK/BIRC5/KIF2A/PRP4K/FBXO5/DLGAP5/NEK2/TPX2/DUSP1/CENPF/MAD2L1/DYNC1I1/BUB1B/KIF18A/KIF15/PRC1/NCAPG2/CENPE/KIF2C/NCAPH/SMC2/NUSAP1/KIF11/AURKB/MKI67/SPDL1/KIF23/AURKA/NDC80/NCAPG/BUB1/ZWILCH/CDK1",52
"GO:0000070","mitotic sister chromatid segregation","43/1162","205/18842",0.209756097560976,3.40122580915998,8.86208352723307,9.8699270106538e-13,1.8285321494735e-09,1.8285321494735e-09,"CCNB1/TRIP13/SPC25/CDC20/KIF14/FLNA/UBE2C/SPAG5/CENPA/SMC4/KIF4A/RACGAP1/ZWINT/TTK/BIRC5/KIF2A/PRP4K/FBXO5/DLGAP5/TPX2/DUSP1/CENPF/MAD2L1/DYNC1I1/BUB1B/KIF18A/KIF15/PRC1/NCAPG2/CENPE/KIF2C/NCAPH/SMC2/NUSAP1/KIF11/AURKB/SPDL1/KIF23/NDC80/NCAPG/BUB1/ZWILCH/CDK1",43
"GO:0007507","heart development","68/1162","438/18842",0.155251141552511,2.51741997343582,8.23759901320398,1.52003005235063e-12,1.8285321494735e-09,1.8285321494735e-09,"ENG/CCNB1/BMP4/VCAM1/ACACB/TPM1/FHL2/GREM1/HOPX/POPDC2/TGFBR3/DNAAF1/OBSL1/HEY2/SOX18/ERBB4/NEBL/NRP2/CXADR/ANK2/FZD7/ZFPM2/CITED2/SMYD2/CHD7/PDLIM5/SOX17/FHOD3/STIL/MSX1/DSP/S1PR1/MMP2/PDLIM7/RGS2/ACTC1/SALL1/GPC3/DSG2/EMILIN1/SLIT2/PDE2A/MICAL2/GATA4/INHBA/FGFR2/APLNR/PCNA/BMP6/KDR/ERBB3/HSPB7/PDLIM3/ELN/SLIT3/CLDN5/MEF2C/MSX2/MYH11/KRAS/TIE1/GATA6/CPE/NFATC1/LDB3/PAX8/CDK1/CDKN1A",68
"GO:1905818","regulation of chromosome separation","26/1162","82/18842",0.317073170731707,5.14138785105579,9.63496902466861,1.55487427676318e-12,1.8285321494735e-09,1.8285321494735e-09,"CCNB1/TRIP13/SPC25/CDC20/UBE2C/SMC4/ZWINT/TTK/BIRC5/PRP4K/FBXO5/DLGAP5/DUSP1/CENPF/MAD2L1/DYNC1I1/BUB1B/NCAPG2/NCAPH/SMC2/AURKB/SPDL1/NDC80/NCAPG/BUB1/ZWILCH",26
"GO:0006956","complement activation","23/1162","65/18842",0.353846153846154,5.73766715212498,9.8089389036068,2.23972907426852e-12,2.19493449278315e-09,2.19493449278315e-09,"C2/C1QA/C4A/C4B/C3/VSIG4/IGHG1/IGHD/IGHA1/C1R/C7/IGHA2/CFHR1/COLEC11/CFD/CFH/C1S/CLU/IGHG3/C1QB/FCN1/SERPING1/A2M",23
"GO:0007088","regulation of mitotic nuclear division","31/1162","120/18842",0.258333333333333,4.18891279403328,8.98402711398782,5.04313915120152e-12,4.00288743951678e-09,4.00288743951678e-09,"CCNB1/BMP4/TRIP13/TOM1L1/SPC25/CDC20/UBE2C/EDN3/OBSL1/BORA/ZWINT/CHEK1/TTK/BIRC5/PRP4K/FBXO5/DLGAP5/NEK2/DUSP1/CENPF/MAD2L1/DYNC1I1/BUB1B/NUSAP1/AURKB/MKI67/SPDL1/AURKA/NDC80/BUB1/ZWILCH",31
"GO:0051783","regulation of nuclear division","33/1162","135/18842",0.244444444444444,3.96370242876267,8.85958370422052,5.44610535988678e-12,4.00288743951678e-09,4.00288743951678e-09,"CCNB1/BMP4/TRIP13/TOM1L1/SPC25/CDC20/UBE2C/PLCB1/EDN3/OBSL1/RAD51AP1/BORA/ZWINT/CHEK1/TTK/BIRC5/PRP4K/FBXO5/DLGAP5/NEK2/DUSP1/CENPF/MAD2L1/DYNC1I1/BUB1B/NUSAP1/AURKB/MKI67/SPDL1/AURKA/NDC80/BUB1/ZWILCH",33
"GO:0048598","embryonic morphogenesis","58/1162","354/18842",0.163841807909605,2.65671888522613,8.0671363260702,7.45265595148573e-12,4.86906855497068e-09,4.86906855497068e-09,"ENG/HOXC4/BMP4/DACT1/GRHL2/MYO6/MFAP5/CELSR1/GREM1/EFEMP1/COL11A1/PLS1/HOXA11/DNAAF1/HOXA9/DUSP4/SOX18/SLC44A4/ZBTB16/FZD7/FZD5/NR4A3/EPHB2/SUPT20H/CHD7/PTCH1/SOX17/APOA1/TENM4/STIL/MSX1/ITGA8/EYA2/DUSP1/COL6A1/TCF21/SULF1/MMP2/SALL1/GPC3/GREM2/MICAL2/GATA4/ITGA7/INHBA/COBL/FGFR2/APLNR/PAX2/COL7A1/FOXA2/MEF2C/TASOR/ITGA5/MSX2/FLT1/OFD1/PAX8",58
"GO:0051304","chromosome separation","26/1162","88/18842",0.295454545454545,4.7908386793929,9.13784089427563,9.5784703179157e-12,5.63214054693443e-09,5.63214054693443e-09,"CCNB1/TRIP13/SPC25/CDC20/UBE2C/SMC4/ZWINT/TTK/BIRC5/PRP4K/FBXO5/DLGAP5/DUSP1/CENPF/MAD2L1/DYNC1I1/BUB1B/NCAPG2/NCAPH/SMC2/AURKB/SPDL1/NDC80/NCAPG/BUB1/ZWILCH",26
