"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","46/664","160/9411",0.2875,4.07479292168675,10.8076385469813,3.94286345079163e-17,1.38788793467865e-14,1.38788793467865e-14,"CD34/CD40/OCLN/HLA-DPA1/ALCAM/ITGB8/SLITRK3/CDH1/SELP/ITGA8/CLDN10/NRCAM/SELE/CLDN3/CDH3/HLA-DRB1/HLA-DQA1/CADM3/VTCN1/HLA-DPB1/HLA-DRB5/CLDN5/NRXN2/SELL/HLA-DRB3/CD22/CLDN7/HLA-DQA2/NFASC/NCAM1/HLA-DRB4/CDH5/ICAM2/ITGA6/PECAM1/CXADR/JAM3/HLA-DRA/ICAM1/L1CAM/SIGLEC1/JAM2/VCAM1/NLGN1/HLA-DQB1/HLA-E",46
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","50/664","233/9411",0.214592274678112,3.04145767619836,8.69347886162974,5.7866934871872e-13,1.01845805374495e-10,1.01845805374495e-10,"THBS4/FHL2/TLN1/ANK2/MYL9/DSP/THBS1/THBS2/COL4A3/NID2/ITGB8/COL4A6/DSG2/PDLIM3/ITGA8/TPM1/BGN/LMNA/CSRP1/DES/COMP/LMOD1/FLNC/COL6A2/ENO2/COL4A4/TMOD3/NEBL/SGCE/SYNE3/COL6A1/COL11A1/ELN/ITGA7/TPM2/MYOZ3/ITGA6/ITGA5/FHL1/PDLIM5/LDB3/ANK3/MYH11/DMD/ACTC1/PDLIM7/ACTG2/DCN/SPTAN1/LMNB1",50
"Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","36/664","154/9411",0.233766233766234,3.3132138945392,7.97425848097742,8.75602785480707e-11,1.02737393496403e-08,1.02737393496403e-08,"THBS4/FLT1/TLN1/KDR/PIK3R1/THBS1/THBS2/COL4A3/ITGB8/COL4A6/PDGFD/CDH1/ITGA8/COMP/VEGFD/C3/TNC/COL6A2/COL4A4/FLNA/COL6A1/TNXB/MET/LIMS2/ICAM2/ITGA7/ITGA6/ITGA5/LIMS1/ICAM1/CCND2/VWF/PDGFA/VCAM1/LAMA4/LAMB2",36
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","27/664","99/9411",0.272727272727273,3.86541621029573,7.89647228165082,5.28365529457927e-10,4.64961665922975e-08,4.64961665922975e-08,"FPR1/C4A/C1S/HLA-DPA1/CFD/SELP/HLA-DRB1/HLA-DQA1/C4B/HLA-DPB1/HLA-DRB5/C3/FCGR2C/CFH/HLA-DRB3/C1QA/HLA-DQA2/HLA-DRB4/C1R/FCGR2A/C1QB/HLA-DRA/ICAM1/C2/HLA-DQB1/C4B_2/FCGR2B",27
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","24/664","89/9411",0.269662921348315,3.82198456748342,7.3696078106307,6.2249420786585e-09,4.38235922337559e-07,4.38235922337559e-07,"C4A/A2M/C1S/CFD/SERPINE2/SERPIND1/C4B/SERPINE1/C3/CFH/C7/THBD/C1QA/C1R/C1QB/CLU/VWF/C2/SERPING1/VSIG4/C4B_2/CFHR1/PROS1/PLAT",24
"Human Diseases","Immune disease","hsa05310","Asthma","13/664","32/9411",0.40625,5.75785956325301,7.4277559904804,9.47901251019728e-08,5.3797295511469e-06,5.3797295511469e-06,"FCER1A/CD40/HLA-DPA1/HLA-DRB1/HLA-DQA1/HLA-DPB1/HLA-DRB5/HLA-DRB3/HLA-DQA2/HLA-DRB4/CCL11/HLA-DRA/HLA-DQB1",13
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","39/664","224/9411",0.174107142857143,2.46765409853701,6.12505722863625,1.06983258119399e-07,5.3797295511469e-06,5.3797295511469e-06,"CRTC3/DLG1/TLN1/IL15/CD40/PIK3R1/HLA-DPA1/CCNE2/HLA-DRB1/ZFP36/CCNA2/HLA-DQA1/MAP3K1/HLA-DPB1/HLA-DRB5/MAD2L1/MSX1/NFATC1/HLA-DRB3/KRAS/STAT5B/HLA-DQA2/HLA-DRB4/CHEK1/ATR/CCNB2/MSX2/BUB1B/CDKN1A/HLA-DRA/PTTG1/ICAM1/CDC20/EGR1/CCND2/FOS/HLA-DQB1/EGR2/HLA-E",39
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","52/664","362/9411",0.143646408839779,2.03592824336018,5.53774499248588,5.48491337275501e-07,2.4133618840122e-05,2.4133618840122e-05,"THBS4/FGF9/FLT1/IL7R/KDR/FGF7/PIK3R1/THBS1/THBS2/COL4A3/GHR/EIF4E/ITGB8/COL4A6/PDGFD/ITGA8/NGF/CCNE2/MAGI1/NTRK2/COMP/NR4A1/CSF1R/VEGFD/C8orf44-SGK3/TNC/COL6A2/BRCA1/NGFR/ERBB3/KRAS/COL4A4/SGK3/PPP2R5C/ERBB4/COL6A1/TNXB/MET/HSP90AA1/ITGA7/ITGA6/ITGA5/CDKN1A/FLT3LG/FGFR2/IL4R/CCND2/VWF/PDGFA/FGFR1/LAMA4/LAMB2",52
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","21/664","89/9411",0.235955056179775,3.34423649654799,6.12196955078747,6.5037694156498e-07,2.54369648256526e-05,2.54369648256526e-05,"THBS4/THBS1/THBS2/COL4A3/ITGB8/COL4A6/ITGA8/COMP/TNC/COL6A2/COL4A4/COL6A1/TNXB/ITGA7/ITGA6/ITGA5/VWF/CD44/LAMA4/LAMB2/HMMR",21
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","15/664","50/9411",0.3,4.2519578313253,6.35211091962877,1.00438488498303e-06,3.53543479514027e-05,3.53543479514027e-05,"GYPC/THBS4/CD40/THBS1/THBS2/SELP/SELE/COMP/LRP1/MET/CCL2/PECAM1/ICAM1/ACKR1/VCAM1",15
